sr no.,namc_id,namc_code,namc_term,namc_term_diacritical,namc_term_devanagari,short_definition,long_definition,ontology_branches,name english,name english under index,primary index related,namc_code_raw,tm2_code
1553,1601,GD-5,upajihvikA,(a) upajihvikā,उपजिह्विका,-,It is characterised by cystic swelling either above or below the tongue. This may be explained by: (a) Vitiated all three dosha localising near the base of the tongue.,-,Ranula disorder (TM2),-,Primary,SM1C (GD-5),SM1C
1635,1688,HA-6,kRumigranthiH,(a) kṛmigranthiḥ,कृमिग्रन्थिः,-,-,-,Chronic blepharitis disorder (TM2) ⇒,Pedicularis palpebrae (TM2),Index,HA-6 (SK62 ),SK62
1636,1688,HA-6,kRumigranthiH,(a) kṛmigranthiḥ,कृमिग्रन्थिः,-,-,-,Chronic blepharitis disorder (TM2) ⇒,Pedicularis palpebrae (TM2),Index,HA-6 (SK62 ),SK62
1705,1757,HF-10,sirotpAtaH/SirotpAta,(a) sirotpātaḥ,सिरोत्पातः/शिरोत्पात,-,-,-,Episcleritis disorder (TM2) ⇒,-,Index,HF-10 (SK60 ),SK60
1706,1757,HF-10,sirotpAtaH/SirotpAta,(a) sirotpātaḥ,सिरोत्पातः/शिरोत्पात,-,-,-,Episcleritis disorder (TM2) ⇒,-,Index,HF-10 (SK60 ),SK60
1707,1758,HF-11,sirApraharShaH,(a) sirāpraharṣaḥ (a) Sirāharṣaḥ,सिराप्रहर्षः,-,It is characterised by appearance of reddish blood vessels over the sclera. This may be explained by: (a) Vitiated blood,-,Ocular hyperemia disorder (TM2),-,Primary,SK60 (HF-11),SK60
1708,1758,HF-11,sirApraharShaH,(a) sirāpraharṣaḥ (a) Sirāharṣaḥ,सिराप्रहर्षः,-,It is characterised by appearance of reddish blood vessels over the sclera. This may be explained by: (a) Vitiated blood,-,Ocular hyperemia disorder (TM2),-,Primary,SK60 (HF-11),SK60
1752,1803,HG-6,kaPavidagdhadRuShTi/rAtryAndhyam,(a) rātryāndhyam (a) kaphavidagdhadṛṣṭi,कफविदग्धदृष्टि/रात्र्यान्ध्यम्,-,It is characterised by loss of vision during night. This may be explained by: (a) Vitiated kapha affecting the vision.,-,Night blindness disorder (TM2),-,Primary,SK64 (HG-6),SK64
1753,1803,HG-6,kaPavidagdhadRuShTi/rAtryAndhyam,(a) rātryāndhyam (a) kaphavidagdhadṛṣṭi,कफविदग्धदृष्टि/रात्र्यान्ध्यम्,-,It is characterised by loss of vision during night. This may be explained by: (a) Vitiated kapha affecting the vision.,-,Night blindness disorder (TM2),-,Primary,SK64 (HG-6),SK64
2817,2895,VA-7,tridoShajaprakRutiH,"(a) tridōṣajaprakr̥tiḥ, (a) samaprakr̥tiḥ",त्रिदोषजप्रकृतिः,-,"It is characterized by having combined features of vata, pitta and kapha constitution. This may be explained by the non-pathological predominance of vata, pitta and kapha at the time of conception determining a person’s baseline state of optimal functioning of both body and mind.",-,Body constitution with a predominance of all three dosha pattern (TM2),-,Primary,SS56 (VA-7),SS56
2818,2895,VA-7,tridoShajaprakRutiH,"(a) tridōṣajaprakr̥tiḥ, (a) samaprakr̥tiḥ",त्रिदोषजप्रकृतिः,-,"It is characterized by having combined features of vata, pitta and kapha constitution. This may be explained by the non-pathological predominance of vata, pitta and kapha at the time of conception determining a person’s baseline state of optimal functioning of both body and mind.",-,Body constitution with a predominance of all three dosha pattern (TM2),-,Primary,SS56 (VA-7),SS56
