namc_term_diacritical,tm2_code,count
(a) ojovaiṣamyam,SP93,1
(a) ojaḥkṣayaḥ,SR4F,1
(a) ojovisraṃsaḥ,SR4H,1
(a) ojovyāpat,SR4G,1
(a) rājayakṣmā,SP5B,1
(a) svedavṛddhiḥ,SN45,1
mūtrakṣayaḥ,SR83,1
(a) mūtravṛddhiḥ,SR82,1
(a) purīṣakṣayaḥ,SR81,1
(a) purīṣavṛddhiḥ,SR80,1
(a) sāmamalaḥ,SR86,1
(a) svedakṣayaḥ,SR85,1
(a) agnivaiṣamyam,SS10,1
(a) āmadoṣaḥ (a) āmavasthā,SS15,1
"(a) mandāgniḥ, (a) agnisādaḥ",SS13,1
(a) viṣamāgniḥ,SS11,1
(a) tīkṣṇāgniḥ,SS12,1
"(a) atyagniḥ, (a) bhasmakaḥ",SS14,1
(a) srotovaiṣamyam,SR5Z,1
(a) prāṇavahasrotoduṣṭiḥ,SR57,1
(a) hikkā,SM74,1
(a) mahatīhikkā (a) gambhīrāhikkā,SM74,1
(a) gambhīrāhikkā,SM74,1
"(a) vyapetāhikkā, (a) yamalāhikkā",SM74,1
(a) kṣudrā hikkā,SM74,1
(a) kāsaḥ,SL41,1
(a) śvāsaḥ,SL42,1
(a) tamakaśvāsaḥ,SL40,1
(a)pratamakaśvāsaḥ,SL40,1
(a)santamakaśvāsaḥ,SL40,1
(a) svarabhedaḥ,SL03,1
(a) annavahasrotoduṣṭiḥ,SR59,1
(a) atisāraḥ,SM37,1
(a) ajīrṇam,SM3B,1
(a) visūcikā,SM76,1
(a) vilambikā,SM34,1
(a) alasaka,SM3C,1
(a) amlapittam,SM39,1
(a) ūrdhvagata-amlapittam (a) ūrdhvaga-amlapittam,SM39,1
(a) adhōga-amlapittam (a) adhogata-amlapittam,SM39,1
(a) arocakaḥ,SM71,1
(a) chardiḥ,SM3L,1
(a) vātaja-chardiḥ,SM3J,1
(a) grahaṇīl,SM36,1
(a) gulmaḥ,SM3K,1
(a) pravāhikā,SM38,1
(a) raktaja-pravāhikā,SM72,1
(a) śūlaḥ,SM33,1
(a) vātapaittikaśūlaḥ,SM3F,1
(a) pariṇāmaśūlaḥ,SM3D,1
(a) annadravaśūlaḥ,SM3E,1
(a) pārśvarujaḥ (a) pārśvaśūlaḥ,SM70,1
(a) udāvartaḥ,SM35,1
(a) parikartikā,SM51,1
(a) purīṣavahasrotoduṣṭiḥ,SR5A,1
(a) hṛdrogaḥ,SL61,1
(a) jvara,SP51,1
(a) vātikajvaraḥ,SP54,1
(a) paittikajvaraḥ,SP53,1
(a) kaphajajvaraḥ,SP52,1
(a) kaphavātajajvaraḥ,SP5Y,1
(a) vātapittajajvaraḥ,SP5Y,1
(a) kaphapittajajvaraḥ,SP5Y,1
(a) sannipātajajvaraḥ,SP5Y,1
(a) āgantujvaraḥ,SP59,1
(a) viṣamajvaraḥ,SP57,1
(a) satata-viṣamajvaraḥ,SP57,1
(a) santata,SP58,1
(a) anyedyuṣka-viṣamajvaraḥ,SP57,1
(a) tṛtīyaka-viṣamajvaraḥ,SP57,1
(a) kaphapittatṛtīyakajvaraḥ,SP57,1
(a) vātakaphatṛtīyakajvaraḥ,SP57,1
(a) vātapittatṛtīyakajvaraḥ,SP57,1
(a) caturthaka-viṣamajvaraḥ,SP57,1
(a) vātajacaturthakajvaraḥ,SP57,1
(a) kaphajacaturthakajvaraḥ,SP57,1
(a) caturthakaviparyaya-viṣamajvaraḥ,SP57,1
(a) dhātugatajvaraḥ,SP57,1
(a) stanyaduṣṭiḥ,SN11,1
(a) stanyavahasrotoduṣṭiḥ,SR5D,1
(a) pāṇḍurogaḥ,SL80,1
(a) āmavātaḥ,SP11,1
(a) raktavahasrotoduṣṭiḥ,SR51,1
(a) kaṇḍūḥ,SP99,1
(a) piḍakā,SN92,1
(a) buddhisaṁmōhaḥ,SQ01,1
(a) kāmalā,SM41,1
(a) koṣṭhāśrita-kāmalā,SM41,1
(a) kumbhakāmalā,SM41,1
(a) śākhāśrita-kāmalā,SM41,1
(a) lakharaka,SM41,1
(a) halīmaka,SM41,1
"(a) kapālaḥ, (a) aruṇa-kuṣṭhaḥ, (a) vātikakuṣṭhaḥ",SN49,1
"(a) udumbara-kuṣṭhaḥ, (a) paittika-kuṣṭhaḥ",SN49,1
"(a) maṇḍalakuṣṭhaḥ, (a) kaphajakuṣṭhaḥ",SN49,1
(a) ṛṣyajihvakaḥ,SN49,1
(a) puṇḍarīkaḥ,SN49,1
(a) sidhmaḥ,SN4A,1
(a) ekakuṣṭhaḥ,SN4B,1
(a) carmakuṣṭhaḥ,SN5Y,1
(a) kiṭibhaḥ,SN4A,1
(a) vipādikā,SN9Y,1
(a) dadru-kuṣṭhaḥ,SN4U,1
(a) carmadala-kuṣṭhaḥ,SN5Y,1
(a) pāmā (kacchū),SN46,1
(a) śatāru-kuṣṭhaḥ,SN5Y,1
(a) vicarcikā,SN43,1
(a) sthūlāruṣka,SN5Y,1
(a) dhātugatakuṣṭhaḥ,SN49,1
(a) śvitraḥ,SN4D,1
(a) raktapittam,SL81,1
(a) vātaraktam,SP11,1
(a) vātajavātaraktam,SP11,1
(a) pittaja-vātaraktam,SP14,1
(a) gudajavidradhi,SM56,1
(a) vr̥kkajavidradhiḥ,SM80,1
(a) yakr̥jjavidradhiḥ,SM40,1
(a) visarpaḥ,SN5Y,1
(a) phiraṅgaroga,SN31,1
(a) plīhavruddhi (a) plīharogaḥ,SM44,1
(a) ślīpadaḥ,SM01,1
(a) bhagandaraḥ,SM52,1
(a) śoṇitakledaḥ,SL8Y,1
(a) snāyukarogaḥ,SN47,1
(a) marmābhighātajadāhaḥ,SM01,1
(a) māṃsavahasrotoduṣṭiḥ,SR52,1
(a) arbudaḥ,SP72,1
(a) arśaḥ,SM53,1
(a) vātaja-arśaḥ (a) śuṣka-arśaḥ,SM53,1
(a) pittaja-arśaḥ,SM53,1
(a) kaphaja-arśaḥ,SM53,1
(a) raktaja-arśaḥ (a) ārdra-arśaḥ,SM53,1
(a) sahaja-arśaḥ,SM53,1
(a) nābhija-arśaḥ,SM7Y,1
(a) meḍhraja-arśaḥ,SN06,1
(a) netraja-arśaḥ,SK6S,1
(a) granthi,SP71,1
(a) medojagranthi,SP70,1
(a) sirāgranthiḥ,SL70,1
(a) medovahasrotoduṣṭiḥ,SR53,1
(a) pramehaḥ,SM8D,1
(a) kaphajapramehaḥ,SM8D,1
(a) udakamehaḥ,SM8D,1
(a) ikṣuvālikāmehaḥ,SM8D,1
(a) sāndramehaḥ,SM8D,1
(a) sāndraprasādamehaḥ,SM8D,1
(a) śuklamehaḥ,SM8D,1
(a) śukramehaḥ,SM8D,1
(a) śītamehaḥ,SM8D,1
(a) śanairmehaḥ,SM8D,1
(a) sikatāmehaḥ,SM8D,1
(a) lālāmehaḥ,SM8D,1
(a) surāmehaḥ,SM8D,1
(a) lavaṇamehaḥ,SM8D,1
(a) piṣṭamehaḥ,SM8D,1
(a) phenamehaḥ,SM8D,1
(a) pittaja-pramehaḥ,SM8D,1
(a) kṣāramehaḥ,SM8D,1
"(a) kālamehaḥ, (a) kṛṣṇamehaḥ",SM8D,1
(a) nīlamehaḥ,SM8D,1
(a) lohitamehaḥ,SM8A,1
(a) mañjiṣṭhāmehaḥ,SM8D,1
(a) hāridramehaḥ,SM8D,1
(a) amlamehaḥ,SM8D,1
(a) vātajapramehaḥ,SM8D,1
(a) vasāmehaḥ,SM8D,1
(a) majjāmehaḥ,SM8D,1
(a) hastimehaḥ,SM8D,1
(a) madhumehaḥ (a) kṣaudramehaḥ,SP60,1
(a) sarpirmehaḥ,SM8D,1
(a) prameha-piḍakā,SN92,1
(a) sarṣapikā,SN04,1
(a) medorogaḥ / atisthaulyam,SP64,1
(a) svedavahasrotoduṣṭiḥ,SR5C,1
(a) asthivahasrotoduṣṭiḥ,SR54,1
(a) adhyasthiḥ,SP0Y,1
(a) majjāvahasrotoduṣṭiḥ,SR55,1
(a) majjāparipākaḥ,SP0Y,1
(a) śukravahasrotoduṣṭiḥ,SR56,1
(a) klaibyam,SN02,1
(a) śūkarogaḥ,SN00,1
(a) vidradhiḥ,SP90,1
(a) upadaṃśaḥ,SN30,1
(a) vṛddhiḥ,SN01,1
(a) vātaja-vṛddhiḥ,SN3Y,1
(a) pittaja-vṛddhiḥ,SN3Y,1
(a) kaphaja-vṛddhiḥ,SN3Y,1
(a) raktaja-vṛddhiḥ,SN0Y,1
(a) medoja-vṛddhiḥ,SN0Y,1
(a) mūtraja-vṛddhiḥ,SN0Y,1
(a) antra-vṛddhiḥ,SM3G,1
(a) aṇḍa-vṛddhiḥ,SN0Y,1
(a) mūtravahasrotoduṣṭiḥ,SR5B,1
(a) aśmarī,SM8C,1
(a) vātaja-aśmarī,SM8C,1
(a) pittaja-aśmarī,SM8C,1
(a) kaphaja-aśmarī,SM8C,1
(a) śukrāśmarī,SM8C,1
