namc_code,namc_term_diacritical,short_definition,long_definition
AAB-85,(a) vāk-saṅgaḥ,-,"It is characterised by loss of speech clarity, lalling, strained speech, may be aggravated due to excess speech. This may be explained by: (a) Aggravagtion of vata affecting kapha and faculty of speech."
AAB-86,(a) vācālatā,-,-
AAB-87,"(a) vātakhuḍḍatā, (a) vātakaṇṭakaḥ",-,-
AAB-88,(a) vāmanatvam,-,-
AAB-89,(a) viḍ-bhedaḥ,-,-
AAB-90,vipādikā (nānātmaja) (kēvalavāta),-,-
AAB-91,(a) viṣādaḥ (a) dīnatā,-,-
AAB-92,(a) vṛṣaṇākṣepaḥ,-,-
AAB-93,(a) vaṅkṣaṇānāhaḥ,-,-
AAB-94,(a) vyathā,-,-
AAB-95,(a) śirāsphūrtiḥ,-,-
AAB-96,śirōruk (kēvalavāta),-,-
AAB-97,(a) śukrakṣayaḥ,-,"It is characterised by decreased quantity and quality of semen, decreased sexual power, spermatorrhoea. This may be explained by: (a) Vitiation of all three dosha affecting male reproductive system."
AAB-98,śaṅkhabhēdaḥ (kēvalavāta),-,-
AAB-99,(a) śephastambhaḥ,-,It is characterised by painful penile erection. This may be explained by: (a) Vitiated vata affecting the penis.
AAB-100,(a) śaityam,-,-
AAB-101,śyāvāruṇāsyatā (kēvalavāta),-,-
AAB-102,śrōṇibhēdaḥ (kēvalavāta),-,-
AAB-103,(a) saṅkocaḥ,-,-
AAB-104,svēdanāśaḥ (kēvalavāta),-,-
AAB-105,(a) śramaḥ,-,-
AAB-106,sarvāṅgarōgaḥ/sarvāṅgavātaḥ (kēvalavāta),-,-
AAB-107,(a) stambhaḥ,-,-
AAB-108,(a) hanubhedaḥ,-,-
AAB-109,hikkā (kēvalavāta),-,-
AAB-110,(a) hṛddravaḥ,-,It is characterised by feeling of increased beating of the heart which is within the notice of the patient with or without tachycardia. This may be explained by: (a) Vitiation of vata affecting the heart region.
AAB-111,(a) hṛnmohaḥ,-,It is characterised by decreased heart rate may be associated with decreased heart function. This may be explained by: (a) Vitiated vata affecting pitta for intellect.
AAC,sāmānyajavātavikāraḥ,-,-
AAC-1,(a) antarāyāmaḥ,-,-
AAC-2,(a) apatantrakaḥ,-,-
AAC-2.1,asādhya-apatantrakaḥ,-,"the disorder is characterized by garbhapātasamutpannaḥ [caused by miscarriage], śōṇitātisravōtthitaḥ [caused by excessive bleeding/heamorrhage], abhighātasamutthaḥ [caused by trauma]"
AAC-3,(a) apatānakaḥ,-,-
AAC-4,(a) arditaḥ,-,"It is characterised by deviation of one side of the face, difficulty in speech, loss of wrinkling, non closure of eyes and lips and dribbling of saliva from the angles of mouth This may be explained by: (a) increased vatadosha affecting one half of the face."
AAC-4.1,ardita-pūrvarupam,-,"the disorder is characterized by rōmaharṣaḥ [horripilation], vēpathuḥ [shivering/tremors], āvilanētraḥ [turbid/muddy eyes], tvaci svāpaḥ [numbness in skin], tōdaḥ [pricking pain], manyāgrahaḥ [neck stiffness], hanugrahaḥ [lock jaw/catching sensation over jaw], ūrdhvavāyuḥ [upward movement of vāyu]"
AAC-4.2,asādhya-arditaḥ,-,"the disorder is characterized by avyaktabhāṣaṇam [incoherent speech], prasaktabhāṣaṇam [stammering speech/unable to speak, aphasia], kṣīṇaḥ [debilitatated person], kampaḥ/vēpanam [tremors], animiṣākṣasya [unable to close eye]"
AAC-5,(a) asthiprabhedaḥ,-,-
AAC-6,(a) asthiśoṣaḥ,-,"It is characterised by atrophy, weakness of bones; may lead to fractures. This may be explained by: (a) Weak digestive and metabolic factors, bone metabolism, malnutrition leading to severe aggravation of vata and decrease of kapha."
AAC-7,(a) vātāṣṭhīlā,-,"It is characterised by increased frequency of urination, obstruction in passing urine, hesitancy, weak urinary stream. This may be explained by: (a) Vitiated vatadosha affecting urinary system."
AAC-8,(a) avabāhukaḥ,-,"""It is characterised by pain, stiffness and restricted movements of the shoulder joint. This may be explained by: (a) Increased vatadosha affecting the nerves and vessels of shoulder region."
AAC-9,(a) ūrustambhaḥ,-,"It is characterised by flaccidity,log like immobility of the thighs. This may be explained by: (a) Obstruction of vata by the ama (state of incomplete digestion, transformation or metabolism)."
AAC-9.1,ūrustambha-pūrvarūpam,-,"the disorder is characterized by dhyānaḥ [insensibility/meditatitve appearance], nidrā [sleep], atistaimityam/stimitatā [excessive rigidity], arōcakaḥ [tastelessness], jvaraḥ [fever], lōmaharṣaḥ [horripilation], chardiḥ [vomiting], jaṅghāsadanam [asthenia/fatigue of calf muscles], ūrusadanam [fatigue /weakness in thighs]"
AAC-9.2,(a) asādhya-ūrustambhaḥ,-,-
AAC-10SP2Y,(a) aṃsaśoṣaḥ,-,-
AAC-10SP2Y,(a) aṃsaśoṣaḥ,-,-
AAC-11,(a) ākṣepakaḥ,-,"It is characterised by sudden, involuntary contractions of muscles, associated with dribbling of saliva, froth in the mouth and deviation of mouth, staring of eyes or rolling of eyeball. This may be explained by: (a) vitiated vatadosha affecting motor faculties."
AAC-12,(a) ādhmānam,-,"It is characterised by distension of abdomen, flatulance, gurlging sounds, heaviness may be associated with pain, dyspepsia, constipation and dysuria. This may be explained by: (a) Aggravation of Descending vata affecting the excretory functions."
AAC-12.1,"(a) pratyādhmānaḥ, (a) pratyānāhaḥ",-,-
AAC-13,(a) bahirāyāmaḥ (a) bāhyāyāmaḥ (a) dhanuḥstambhaḥ,-,-
AAC-13.1,(a) asādhyadhanuṣkaṃpa,-,-
AAC-14,(a) ūrdhvavātaḥ,-,"It is characterised by severe abdominal colicky pain, projectile vomiting with gastrointestinal contents. This may be explained by: (a) Reversal of Kindling vata, Descending vata functions."
AAC-15,(a) ekāṅgavātaḥ,-,-
AAC-16,(a) kalāyakhañjaḥ,-,-
AAC-17,(a) kroṣṭukaśīrṣaḥ,-,-
AAC-18,(a) khañjaḥ (a) khañjatvam,-,-
