namc_code,namc_term_diacritical,short_definition,long_definition
EI-2.3,jarājanyaklaibyam,-,"the disorder is characterized by daurbalyam [weakness], atyarthaṁ dhātukṣayam [excessive depletion of dhātu], kṣipraṁ vyādhiḥ aśnutē [becomes sick easily], balakṣayaḥ [loss of physical strength or weakness], dainyam [apathya], vaivarṇyam [discolouration]"
EI-2.4,śukrakṣayajaklaibyam,-,"the disorder is characterized by dhātu kṣaya [diminution of body tissue elements], śukrakṣaya [diminution of semen], ghōraṁ vyādhimavāpnōti [result in serious diseases], maraṇaṁ vā gacchati [result in even death also]"
EI-2.5,paittikaklaibyam,-,-
EI-2.6,sirāchēdajanyaklaibyam,-,-
EI-2.7,sahajaklaibyam,-,-
EI-2.7.1,īrṣyakaḥ,-,"the disorder is characterized by dr̥ṣṭvā vyavāyamanyēṣāṁ vyavāyē pravartatē [able to perform intercourse after seeing the intercourse of others], īrṣyābhibūtaḥ api mandaharṣaḥ [sexually provoked by seeing at sexual activity]"
EI-2.7.2,āsēkyaḥ,-,the disorder is characterized by śukraṁ prāśya dhvajōcchrāyam labhatē [person obtains erection of penis when he swallowes the semen]
EI-2.7.3,kumbhīkaḥ,-,the disorder is characterized by svē gudēऽbrahmacaryādyaḥ strīṣu puṁvat pravartatē [capable of normal sexual intercourse only after anal stimulation by intercourse with another man]
EI-2.7.4,sugandhikaḥ,-,the disorder is characterized by yōniśēphasōrgandhamāghrāya labhatē balam [gets strength erection by smelling the odour of penis and vagina]
EI-2.7.5,ṣaṇḍaḥ,-,"the disorder is characterized by anārtavā [amenorrhoea], astanī [absence of breasts], kharasparśā ca maithunē [roughness of yōni during coitus]"
EI-2.7.6,tr̥ṇaputrikaḥ,-,the disorder is characterized by puruṣākr̥tibhūyiṣṭhamapuruṣam [a child who is not a complete male but only having musculine charecteristics of male in abundance]
EI-2.7.7,vārtā,-,the disorder is characterized by stryākr̥tibhūyiṣṭhāmastrim [a child who is not a complete female but only having the feminine characteristics in abundance]
EI-3,rētōdōṣaḥ,-,-
EI-3.1,vātaduṣṭa-rētas,-,"the disorder is characterized by kr̥cchra śukratā [difficult emission of semen], alpa śukratā [small quantity of semen ejaculation], vātavarṇavēdanam [blackish coloured semen and associated with pain]"
EI-3.1.1,tanu-rētas,-,"the disorder is characterized by kr̥cchra (śukrapravartanam) [semen ejaculated with pain], alpa (śukrapravartanam) [less amount of semen], upahataṁ śukraṁ na garbhāya kalpatē [vitiated semen does not help in conception]"
EI-3.1.2,rūkṣa-rētas,-,"the disorder is characterized by kr̥cchra (śukrapravartanam) [semen ejaculated with pain], alpa (śukrapravartanam) [less amount of semen], upahataṁ śukraṁ na garbhāya kalpatē [vitiated semen does not help in conception]"
EI-3.1.3,phēnila-rētas,-,"the disorder is characterized by kr̥cchra (śukrapravartanam) [semen ejaculated with pain], alpa (śukrapravartanam) [less amount of semen], upahataṁ śukraṁ na garbhāya kalpatē [vitiated semen does not help in conception]"
EI-3.2,pittaduṣṭa-rētas,-,"the disorder is characterized by nīlavarṇam [bluish discoloration], pītavarṇam [yellowish discoloration], atyuṣṇam [excessively hot in nature], pūtigandhiḥ [putrid smell], dāhaḥ [burning sensation], pittavarṇavēdanam [yellow coloured semen with burning sensation]"
EI-3.2.1,vivarṇa-rētas,-,"the disorder is characterized by sanīlam [semen posses blue discoloartion], pītam [yellow coloured], atyuṣṇam [excessively hot in nature], dāhaḥ [burning sensation]"
EI-3.2.2,pūti-rētas,-,"the disorder is characterized by sanīlam [semen posses blue discoloartion], pītam [yellow coloured], atyuṣṇam [excessively hot in nature], dāhaḥ [burning sensation]"
EI-3.3,kaphaduṣṭa-rētas,-,"the disorder is characterized by baddhamārgam [obstruction of seminal passage], atyarthapicchilam [exceedingly slimy], ślēṣmavarṇavēdanam [whitish coloured semen with dull pain]"
EI-3.3.1,atipicchila-rētas,-,"the disorder is characterized by baddhamārgam [obstruction of seminal passage], atyarthapicchilam [exceedingly slimy]"
EI-3.4,raktānvita-rētas,-,"the disorder is characterized by rudhirānvitam śukraṁ pravartatē [semen gets ejaculated generally in association with blood], kuṇapagandhiḥ [cadaveric smell], analpam [large in quantity]"
EI-3.5,anyadhātūpahita-rētas,-,"the disorder is characterized by rudhirānvitam śukraṁ pravartatē [semen gets ejaculated generally in association with blood], []"
EI-3.6,avasādi-rētas/grathita-rētas,-,"the disorder is characterized by kr̥cchra śukrapravartanam [semen ejaculated with pain], grathitam [clumpy], avasādi [which sinks when placed in water]"
EI-3.7,vātapittaduṣṭa-rētas,-,the disorder is characterized by kṣīṇa rētasaḥ [less amount of semen]
EI-3.8,vātakaphaduṣṭa-rētas,-,the disorder is characterized by granthibhūta rētasaḥ [knotty]
EI-3.9,pittakaphaduṣṭa-rētas,-,the disorder is characterized by pūtipūyanibhaṁ rētasaḥ [semen resembling putrid pus]
EI-3.10,raktapittaduṣṭa-rētas,-,the disorder is characterized by pūyābham [pus like semen discharge]
EI-3.11,sānnipātaduṣṭa-rētas/mūtra-viṭprabha-rētas,-,the disorder is characterized by mūtrapurīṣagandhiḥ rētasaḥ [semen posses odour of urine and faeces]
EI-4,(a) śūkarogaḥ,-,-
EI-4.1,,-,-
EF-2.6.5,,-,-
EI-4.2,,-,-
EI-4.3,,-,-
EI-4.4,,-,-
EI-4.5,,-,-
EI-4.6,,-,-
EI-4.7,,-,-
EI-4.8,,-,-
EI-4.9,,-,-
EI-4.10,,-,-
EI-4.11,,-,-
EI-4.12,,-,-
EI-4.13,(a) vidradhiḥ,-,"It is characterised by pain, swelling, redness of the affected part, discharge of the pus. This may be explained by: (a) Aggravation of pittadosha affecting skin, fat, muscle tissue resulting in swelling and suppuration."
EI-4.14,,-,-
EI-4.15,,-,-
EI-4.16,,-,-
EI-4.17,,-,-
EI-4.18,,-,-
EI-4.19,,-,-
EI-5,(a) upadaṃśaḥ,-,"It is characterised painful or burning micturition, discharge of pus in urine, also associated with urethral swelling. This may be explained by: (a) Physical injury, unhygienic sexual practices affecting three dosha, blood separately or in combination all of them, leading to development of lesions on the genitals."
EI-5.1,vātaja-upadaṁśaḥ,-,"the disorder is characterized by pāruṣyam [roughness/dryness], tvakparipuṭanam /tvakparipōṭanam [skin cracking], stabdhamēḍhratā [stiffness of shaft], paruṣaśōphatā [rough oedema], vividhāḥ vātavēdanā [various types of vātika pain], mēḍhra śōphaḥ [penile oedema], citrāḥ rujaḥ [various types of pain], kr̥ṣṇasphōṭaḥ [blackish blisters], bhēdaḥ [breaking type of pain], satōdaḥ [pricking pain], sphuraṇam [pulsating sensation]"
EI-5.2,pittaja-upadaṁśaḥ,-,"the disorder is characterized by jvaraḥ [fever], pakvōḍumbarasaṅkāśa śvayathuḥ/pakvōdumbarasaṅkāśa śvayathuḥ [swelling resemble ripe udumbara/fig fruit], tīvradāhaḥ [severe burning sensation], kṣiprapākaḥ [quick suppuration], pittavēdanā [pain of pitta type - ōśa, cōṣa etc.], bahuklēdaḥ [excessive moistness/soddening], sadāhaḥ [associated with burning sensation]"
EI-5.3,kaphaja-upadaṁśaḥ,-,"the disorder is characterized by kaṇḍūmān śvayathuḥ/sakaṇḍūḥ [swelling with itching], kaṭhinaḥśvayathuḥ [hard-swelling], snigdhaḥśvayathuḥ [unctuous swelling], ślēṣmavēdanāḥ [dull aching pain], śītalaḥśvayathuḥ [cold-swelling], guruḥśvayathuḥ [heavy-swelling], mahad-śukla-ghana- sphōṭaḥ [big, white and dense discharge]"
EI-5.4,sānnipātaja-upadaṁśaḥ,-,"the disorder is characterized by sarvaliṅgadarśanam/sarvaliṅgatvam [clinical features of all types of dōṣa], śēphasaḥavadaraṇam/daraṇam [cracking of penile skin], kr̥miprādurbhāvaḥ/kr̥misambhavaḥ [appearance of kr̥mi], muṣkaśvayathuḥ [scrotal oedema], tīvrā ruk [severe pain], āśupacanam [undergoes quick suppuration], nānāvidhasrāvaḥ [discharge of various colours], nānāvidharujōpapannam [pain of different types], maraṇaṁ [death]"
EI-5.5,raktaja-upadaṁśaḥ,-,"the disorder is characterized by kr̥ṣṇasphōṭaprādurbhāvaḥ/asitasphōṭasambhavaḥ/sakr̥ṣṇa-sphōṭaḥ [black blisters], atyartham asr̥kpravr̥ttiḥ/asrasrutiḥ/rudhira-srāvaḥ [severe bleeding], pittaliṅgāni/pittasamānaliṅgam [features of the pittaja variety], jvaraḥ [fever], dāhaḥ [burning sensation], śōṣaḥ [dryness/wasting/emaciation], piśitāvabhāsaḥ [appears fleshy]"
EI-5.6,asādhya-upadaṁśaḥ,-,the disorder is characterized by praśīrṇamāṁsaṁ kr̥mibhiḥ prajagdhaṁ muṣkāvaśēṣam [tissue around the male genitalia is very much lost by the invasion of kr̥mi and only testicles are persistent]
EI-5.7,upadaṁśa-ariṣṭaḥ,-,"the disorder is characterized by śōthaḥ [oedema], kr̥miḥ [worm infestation], dāhaḥ [burning sensation in penis], pākaḥ [inflammation/suppuration], praśīrṇaśiśnaḥ [decaying of penis]"
EI-6,(a) vṛddhiḥ,-,"It is characterised by accumulation of fluid in the scrotum, scrotal tissues. It may be associated with pain. This may be explained by: (a) Increase of pitta, vata, kapha leading to laxity of muscles and accumulation of fluids."
EI-6.1,,-,-
EI-6.2,(a) vātaja-vṛddhiḥ,-,-
EI-6.3,(a) pittaja-vṛddhiḥ,-,-
EI-6.4,(a) kaphaja-vṛddhiḥ,-,-
EI-6.5,(a) raktaja-vṛddhiḥ,-,-
EI-6.6,(a) medoja-vṛddhiḥ,-,-
EI-6.7,(a) mūtraja-vṛddhiḥ,-,-
EI-6.8,(a) antra-vṛddhiḥ,-,"It is characterised by protrusion of an organ or a part of the organ through an abnormal opening from the abdominal cavity to outside. This may be explained by: (a) Laxity of abdominal muscles due to excess pitta, vata."
EI-6.9,(a) aṇḍa-vṛddhiḥ,-,-
EJ,,-,-
EJ-1,(a) mūtravahasrotoduṣṭiḥ,-,It is characterized by burning sensation in penis. This may be explained by derangement of channels (functional or anatomical or both) urine.
EJ-2,(a) aśmarī,-,"It is characterised by pain in loins and groin, difficulty in micturition, burning micturition. This may be explained by: (a) Vatadosha drying up the kapha in the urinary tract."
EJ-2.1,,-,-
EJ-2.2,(a) vātaja-aśmarī,-,-
EJ-2.3,(a) pittaja-aśmarī,-,-
EJ-2.4,(a) kaphaja-aśmarī,-,-
EJ-2.5,(a) śukrāśmarī,-,-
EJ-2.6,,-,-
EJ-2.7,,-,-
EJ-2.7.1,,-,-
EJ-2.8,,-,-
EJ-3,(a) mūtrāghātaḥ,-,"It is characterised by obstruction or retention in passage of urine, dribbling of urine, may be associated with pain, burning sensation in bladder, abdominal region. This may be explained by: (a) Aggravation of vata affecting bladder leading to laxity and retention of urine."
EJ-3.1,(a) mūtraukasādaḥ,-,"It is characterised by passing of thick urine. This may be explained by: (a) Vitiation of kaphadosha, vatadosha."
EJ-3.1.1,,-,-
EJ-3.1.2,,-,-
EJ-3.2,(a) mūtrajaṭharaḥ,-,-
EJ-3.3,(a) mūtrotsaṅgaḥ,-,-
EJ-3.4,(a) mūtrasaṃkṣayaḥ,-,It is characterised by passage of urine in less quantity. This may be explained by: (a) Increase of vata.
EJ-3.5,(a) mūtrātītaḥ,-,-
EJ-3.6,,-,-
EJ-3.7,(a) vātabastiḥ,-,"It is characterised by Involuntary flow of urine. This may be explained by: (a) Vitiation of vata, excess pitta affecting urinary bladder."
EJ-3.8,(a) uṣṇavātaḥ (a) uṣṇamāruta,-,-
EJ-3.9,(a) vātakuṇḍalikā,-,It is characterised by dribbling of urine. This may be explained by: (a) Vitiated vata affecting the urinary bladder.
EJ-3.10,"(a) mūtragranthiḥ, (a) raktagranthiḥ",-,-
EJ-3.11,(a) mūtraśukraḥ,-,It is characterised by abnormal uncontrolled emission of semen with erotic thoughts or during passing of urine. This may be explained by: (a) Vitiated vata pushing semen along with urine.
EJ-3.12,(a) viḍ-vighātaḥ,-,-
EJ-3.13,(a) bastikuṇḍalaḥ,-,-
EJ-3.13.1,,-,-
EJ-3.13.2,,-,-
EJ-3.13.3,,-,-
EJ-3.14,,-,-
EJ-4,(a) mūtrakṛcchram,-,"It is characterised by painful micturtion. This may be explained by: (a) Vitiated pittadosha, vatadosa causing erosion in urethral."
EJ-4.1,vātajamūtrakr̥cchram,-,"the disorder is characterized by vaṅkṣaṇē tīvraruk [pain in the inguinal region], bastau tīvraruk [pain in basti (urinary bladder) region], mēḍhrē tīvraruk [severe penile pain], svalpamūtrapravr̥ttiḥ/alpamalpaṁ mūtrapravr̥ttiḥ [scanty micturition], muhurmūtrapravr̥ttiḥ [frequent micturition], muṣkōtpīḍanam [severe pain in scrotum], mēhanōtpīḍanam [severe penile pain], bastyutpīḍanam [pain in basti (urinary bladder)], phaladbhiriva kr̥cchrēṇa mēhati [passes urine with difficulty]"
EJ-4.2,pittajamūtrakr̥cchram,-,"the disorder is characterized by pīta-mūtra-(pravr̥ttiḥ) [passes yellow urine], sarakta-mūtra-(pravr̥ttiḥ) [passes urine with blood], saruja-mūtra-(pravr̥ttiḥ) [passes urine with pain], sadāha-mūtra-(pravr̥ttiḥ) [passes urine with burning sensation], kr̥cchra-mūtra-(pravr̥ttiḥ) [difficulty in passing urine], muhurmuhuḥ mūtrapravr̥ttiḥ [frequent micturition], hāridramūtrapravr̥ttiḥ [yellowish discoluration of urine], uṣṇamūtrapravr̥ttiḥ [urine with increased hotness], raktamūtrapravr̥ttiḥ [urine having colour of blood/hematuria], agninā dahyamāna iva muṣkadāhaḥ [burning pain as if burnt in scrotum], agninā dahyamāna iva mēhanadāhaḥ [burning pain as if burnt in penis], agninā dahyamāna iva bastidāhaḥ [burning pain as if burnt in bladder]"
EJ-4.3,kaphajamūtrakr̥cchram,-,"the disorder is characterized by basti-gurutvam/bastigauravam [heaviness in the basti (urinary bladder)], basti-śōthaḥ/bastiśōphaḥ [swelling in the basti (urinary bladder)], sapiccha-mūtram [slimy urine], liṁga-gurutvam/mēhanagauravam/mēḍhragauravam [heaviness in penis], liṁga-śōthaḥ/mēḍhraśōphaḥ [oedema in penis], savibandha-mūtram [retention of urine], snigdhaṁ mūtram [unctuous urine], śuklaṁ mūtram [whitish coloured urine], anuṣṇaṁ mūtram [urine not too hot], saṁhr̥ṣṭarōmaḥ [horripilation], muṣkagauravam [heaviness in scrotum]"
EJ-4.4,sānnipātamūtrakr̥cchram,-,"the disorder is characterized by sarvāṇi rūpāṇi [clinical features of all types of dōṣa], dāhaḥ [burning sensation], śītaḥ [feeling of cold/chills], rujā [pain], nānāvarṇaḥ [urine of different colours], muhurmuhuḥ mūtrapravr̥ttiḥ [frequent micturition], tāmyatā (atyarthaṁ tamaḥ pravēśaḥ) [distressed], kr̥chrēṇa mēhati [difficulty in micturition]"
EJ-4.5,aśmarījamūtrakr̥cchram,-,-
EJ-4.6,purīṣarōdhajamūtrakr̥cchram,-,"the disorder is characterized by ādhmānam [abdominal distension], vātaśūlaḥ/śūlaḥ [pain due to vāta], mūtrasaṅgaḥ [obstruction/retention in passage of urine]"
EJ-4.7,śarkarājamūtrakr̥cchram,-,"the disorder is characterized by hr̥tpīḍā [precordial pain/cardiac pain], vēpathuḥ [shivering/tremors], śūlaṁ kukṣau [colicky pain in the abdomen], vahniḥ sudurbalaḥ [diminution of agni], mūrcchā [syncope/attacks of swooning], dāruṇa mūtrāghāta [severe disuria], mūtravēganirastāsu tāsu śāmyati vēdanā [when the gravel are passed with the flow of urine, pain subsides]"
EJ-4.8,śōṇitajamūtrakr̥cchram/raktajamūtrakr̥cchram,-,"the disorder is characterized by vibaddham [obstruction], tīvrārti [excruciating pain], bastyādhmāna [abdominal distention], basti gauravaṁ [heaviness in basti/urinary bladder], viniḥsr̥tē bastērlaghutvaṁ [when the calculus passes out the patient feels lightness in the region of urinary bladder]"
EJ-4.9,śalyajamūtrakr̥cchram,-,"the disorder is characterized by bhr̥śavēdanā [severe pain], vātakr̥cchrēṇa tulyaliṅgāni [clinical features simillar to vātika dysuria], vātavastēstu tulyaliṅgāni [clinical features similar to vatabasti]"
EJ-4.10,śukrajanyamūtrakr̥cchram,-,"the disorder is characterized by mūtraṁ kr̥cchrēṇa vimuṁcati [difficulty in passing urine], stabdhāṇḍatā [stiffness of scrotum], mēhana-śūlaḥ [penile pain], vasti-śūlaḥ [pain in the vesical region]"
EK,udakavahasrōtōvikāraḥ,-,-
EK-1,"(a) ambuvahasrotoduṣṭiḥ, (a) udakavahasrotoduṣṭiḥ",-,"It is characterized by dryness in tongue, palate, lips and root organ of water-carrying conduits along with excessive severe thirst. This may be explained by derangement of channels (functional or anatomical or both) for fluid circulation."
EK-2,(a) tṛṣṇā,-,It is characterised by the feeling of extreme thirst and difficulty in quenching the thirst. This may be explained by: (a) Pittadosha and vatadosha increases which desiccates the bodily placid and balghamatic elements.
EK-2.1,,-,-
EK-2.2,,-,-
EK-2.3,,-,-
EK-2.4,,-,-
EK-2.5,,-,-
EK-2.6,,-,-
EK-2.7,,-,-
EK-2.8,,-,-
EK-2.9,,-,-
EK-2.10,,-,-
EK-2.11,,-,-
EK-2.12,,-,-
EK-3,"(a) śvayathuḥ/śothaḥ /(a) śophaḥ (a) śvayathuḥ , (a) śothaḥ",-,"It is characterised by painless soft swelling with pitting on the site of swelling and heaviness. This may be explained by: (a) Vitiation digestive and metabolic factors, all the three humours and water carrying channels."
EK-3.1,śōpha-pūrvarūpam,-,"the disorder is characterized by uṣmā [warmth], davathu [burning sensation], sirāṇāmāyām [dilatation of the vessels], aṁga gauravaṁ [heaviness in body]"
EK-3.2,vātajaśōphaḥ,-,"the disorder is characterized by cala śōphaḥ [migratory oedema/shifting in nature], tanutvaka/ tanu śōphaḥ [shiny, thin skin], paruṣa tvaka [rough/dry skin], aruṇa śōphaḥ [slightly reddish swelling], asita śōphaḥ [blackish oedema], prasuptiḥ [numbness], harṣa [hyperesthesia], artiyuta [painful], animittataḥ praśāmyati [subsides on its own], prapīḍitō unnamati/ śīghraṁ unnamēta pīḍitaḥ [pitting on pressure refills quickly], divābalī śōphaḥ/ divāmahāna śōphaḥ [oedema gets increased in day time], mr̥du [soft oedema], anavasthita tōda [shifting pain], tōdādayā vēdanā viśēṣaḥ(tōda,bhēda) [various types of pain like pricking sensation etc], rūkṣa śōphaḥ [dry oedema], khara rōmā [rough hairs], saṁkōca yutaḥ [contraction], spandyutaḥ [pulsatile], kṣiprōtthāna praśamaḥ [quick increase and decrease], snigdha'ōpaśaya [relieves with snigdha treatment], uṣṇōpaśaya [relieves with hot treatment], mardana ūpaśaya [relieves with massage], rātrau alpaḥ śōphaḥ [less swelling at night], tvaka cimicimāyanaṁ (sarṣapa liptasyaiva) [irritation of skin (as if smeared with mustard paste)]"
EK-3.3,pittajaśōphaḥ,-,"the disorder is characterized by mr̥du śōphaḥ [soft oedema], sagandhaḥ [having odour], asita śōphaḥ [blackish oedema], pīta śōphaḥ [yellowish oedema], rāgavān śōphaḥ [oedema with redness], bhramaḥ [giddiness or dizziness], jvaraḥ [fever], svēda [sweating], tr̥ṣṇā/satr̥ṭ [thirst], madaḥ [intoxication], uṣyatē [hotness], sparśēruka [tenderness/on touch pain], akṣirāgakr̥ta [redness in the eyes], bhr̥śapākaḥ [severe inflammation], pītaḥsaraktā śōphaḥ [yellow-reddish oedema], śīghrānusāri/śīghrānusāraḥ praśamam [quick in spreading/quick remission], uṣādayaḥ vēdanā viśēṣaḥ [symptoms such as burning sensation with sweating and restlessness], tāmrarōmakr̥t [coppery hairs], tanurmadhyēprāk jāyatē [occurs first in middle part of the body], dāha/ bhr̥śa dāhaḥ [severe burning sensation], davaḥ [heat/fever], klēda [moistening /soddening], śītābhilāṣaḥ [desire for cold], viḍbhēdaḥ [altered feces/loose motions], sparśāsaha [tenderness/inability to tolerate touch]"
EK-3.4,kaphajaśōphaḥ,-,"the disorder is characterized by guru śōphaḥ [oedema of large size], sthira śōphaḥ [firm oedema], pāṇḍu śōphaḥ/ śukla śōphaḥ [whitish in colour], arōcakaḥ [tastelessness], prasēkaḥ [excessive salivation], nidrā [sleep], vamiḥ [vomiting], vahnimāṁddya [diminution of agni], kr̥cchajanmapraśamō/ kr̥cchr śamajanmā [prolonged onset and subsides with difficulty], nipīḍitō na ca unnamēta/ ākrāntō n unnamēta [pitting on pressure does not fill rapidly], rātribalī [more prominent during the nights], kaṇḍu/ kaṇḍuvādi vēdanā viśēṣaḥ [itching], pāṇḍu rōma [whitish hairs], kaṭhina śōphaḥ [hard oedema], śītala śōphaḥ [cold in nature], snigdhaḥ śōphaḥ [oily apperance], ślakṣṇa śōphaḥ [soft oedema], styāna śōphaḥ [thick/dense swelling], kuśa śastrādi kṣataḥ asr̥k n sravēta [no bleeding on incision], kuśa śastrādi kṣataḥ cirāta picchāṁ sravēta [oozing of serous fluid for long time from incision], sparśakāṁṅkṣī [desire for touch at site], uṣṇakāṁṅkṣī [desire for hot], mandānusārī [slow spreading]"
EK-3.5,raktajaśōpha,-,"the disorder is characterized by (pittavat) [clinical featues as of pittaja type], pīta śōphaḥ (pīta saraktā) [yellowish oedema], atikr̥ṣṇā [dark black coloured], mr̥duśōphaḥ [soft oedema], śīghrānusāri [quick spreading], uṣādayaḥ vēdanā viśēṣaḥ [symptoms such as burning sensation with sweating and restlessness]"
EK-3.6,dvandvaja-śōphaḥ,-,-
EK-3.7,sānnipātajaśōphaḥ,-,"the disorder is characterized by vividha varṇa vēdanā [various colours and various type of pain], []"
EK-3.8,abhighātajaśōphaḥ-kṣatajaśōphaḥ,-,"the disorder is characterized by bhṟuśōṣmā [severe hot], lōhitābhāsaḥ [reddish coloured/blood filled], prāyaśaḥpitta lakṣaṇā [generally clinical features of pittaja type], mr̥du śōphaḥ [soft oedema], sagandhaḥ [having odour], asita śōphaḥ [blackish oedema], pīta śōphaḥ [yellowish oedema], rāgavān śōphaḥ [oedema with redness], śīghrānusāri/śīghrānusāraḥ praśamam [quick spreading/quick remission], uṣādayaḥ vēdanā viśēṣaḥ [symptoms such as burning sensation with sweating and restlessness], tāmrarōmakr̥t [coppery hairs], tanurmadhyēprāk jāyatē [occurs first in middle part of the body], dāha/ bhr̥śa dāhaḥ [severe burning sensation]"
EK-3.9,viṣajaśōphaḥ,-,"the disorder is characterized by avalambi śōphaḥ [oedema in the dependent parts], cala śōphaḥ [migratory oedema/shifting in nature], dāhaḥ [burning sensation], mr̥da śōphaḥ [soft oedema], rujākaraḥ [painful], śīghra śōphaḥ [oedema develops rapidly]"
EK-3.10,āmaśōphaḥ,-,"the disorder is characterized by alpaśōthatvam [less swelling], kāṭhinyatā [induration], tvaksavarṇatā [normal skin colouration], mandavēdanatā [mild pain], mandōṣmatā [hypothermia/mild warmth], śītaśōphatā [cold-swelling], sthiraśōphatā [stable oedema]"
EK-3.11,pacyamānaśōphaḥ,-,"the disorder is characterized by sūcībhiriva nistuddhyatē [pain as if pricked with needle], daśyatē iva pipīlikābhiḥ [pain as if stung by ants], sṁsarpyatē iva pipīlikābhiḥ [feeling as if ants are moving on surface], chidhyatē iva śastrēṇa [pain as if cut by knife], bhidhyatē ivaśaktibhiḥ [pain as if incised forcefully], tāḍyatē iva daṇḍēna [as if beaten with a stick], pīḍYata iva pāṇinā [as if pressed in by the hands], ghaṭṭyatē iva ca aṅugulyā [as if being ground by the fingers], dahyatē iva agninā [as if burnt by fire], pacyatē'iva agninā [as if burnt/cooked by fire], dahyatē'iva kṣārāṇāṁ [as if burnt by caustic/kṣāra], pacyatē iva kṣārāṇāṁ [as if ripened by kṣāra], ōṣa [burning sensation], cōṣa [sucking type of pain], paridāha [severe burning sensation], vr̥ścika viddha iva ruja [pain as scorpion bite], sthānāsanaśayanēṣu na śānti [no relief in any position viz. sitting, sleeping etc.], ādhmāta bastirivātaśca śōphaḥ [gets tense like a distended bladder], tvak vaivarṇyam [skin discolouration], śōphābhivr̥dhi [increase in oedema], jvaraḥ [fever], dāhaḥ [burning sensation], pipāsā [thirst], bhaktāruci [aversion to food]"
EK-3.12,pakvaśōphaḥ,-,"the disorder is characterized by valī prādurbhāva [appearance of wrinkles], pāṇḍutā [pallor], alpa śōpha [mild swelling], tvak paripuṭanaṁ [cracking of skin], āṅgulyāvapīḍitē nimna darśana paścāt pratyunnamanaṁ [finger pressure creates pitting and gets filled], pūyasya bastāvivōdaka saṁcaraṇaṁ pīḍyatē ēkamantṁ [if one end of swelling is pressed, pus moves like water in full bladder], muhurmuhustōdaḥ [frequent pain], kaṇḍūḥ [itching], unnataḥśōphaḥ [elevated odema], upadravaśānti [relief in complications/distessing features], bhaktābhikāṅkṣā [desire for food]"
EK-3.14,asādhya-śōphaḥ,-,"the disorder is characterized by śvāsa [breathlessness/difficult breathing], pipāsa [thirst], chardiḥ [vomiting], daurbalyam [weakness], jvaraḥ [fever], annāruci [aversion to food], puruṣēpādasamuthitaśōphaḥ [oedema started from legs in male], nārīṇāṁ mukhasamuthitaśōphaḥ [oedema started from face in female], nārīṇāṁ guhyasamuthitaśōphaḥ [oedema started from genitals], kukṣyāśrita śōphaḥ [oedema in abdomen/flanks], udarāśrita śōphaḥ [oedema in abdomen], galāśrita śōphaḥ [oedema in throat/neck], marmāśrita śōphaḥ [oedema situtated in marma/vital points], khara śōphaḥ [rough oedema], sthula śōphaḥ [hard oedema]"
EK-3.15,karṇamūlaśōthaḥ,-,-
EK-3.16,śiraśōthaḥ,-,-
EK-3.17,(a) sarvasara-śōthaḥ,-,"It is characterised by generalized oedema of the body. This may be explained by: (a) Vitiated blood, pitta and kapha obstruct the movement of vata leading to the generalized swelling."
EK-3.18,,-,-
EK-3.19,,-,-
EK-4,"(a) udara (a) udararogaḥ, (a) jalodaraḥ",-,"It is characterised by abnormal swelling of the abdomen due to the collection of fluid in abdominal cavity and may be associated with distension, pain, lack of appetite, general weaknes. This may be explained by: (a) Weak digestive and metabolic factors leading to vitition of water carrying channels with the involvement of all the dosha."
EK-4.1,,-,-
EK-4.2,(a) vātaja-udararogaḥ,-,-
EK-4.3,(a) pittaja-udararogaḥ,-,-
EK-4.4,(a) kaphaja-udararogaḥ,-,-
EK-4.5,(a) sannipātōdaraḥ-udararogaḥ,-,-
EK-4.6,(a) yakṛddālyudaraḥ,-,"It is characterised by enlargement of liver, may be associated with anorexia, nausea, vomiting, weakness, blackish discolouration of skin, breathlessness. This may be explained by: (a) Vitiation of blood and pitta affecting the liver."
EK-4.7,(a) baddhagudodaraḥ,-,-
EK-4.8,"(a) chidrodaraḥ, (a) kṣatodaram (a) kṣatodaraḥ",-,-
EK-4.9,,-,-
EK-4.10,(a) ajātodakaḥ,-,-
EK-4.10.1,picchāvasthā,-,"the disorder is characterized by maṇḍalōdaram [round shaped abdomen], gurudaram [heavy], stimita udaraḥ [feels as if wrapped with wet cloth], ākōṭhitaṁ aśabdam [on percussion no sound], mr̥du sparśan [soft touch], apagata rājīkam [devoid of raji (striae)], ākrāntaṁ nābhyāmēva upasarpati [apperance of striae starting from umbilicus]"
EK-4.10.2,jātōdaka avasthā,-,"the disorder is characterized by kukṣēḥ atimātra vr̥ddhiḥ [increase girth of abdomen], sirā antardhānaṁ [disappearance of veins], sirā āgamanam [appearance of veins], udakōpūrṇa dr̥ti saṁsparśaḥ [fluctuates just as a leather bag containing water], udakōpūrṇa dr̥ti saṁkṣōbhaḥ [vibrates just as a leather bag containing water]"
