Sr No.,NUMC_ID,NUMC_CODE,Arabic_term,NUMC_TERM,Short_definition,Long_definition,query,normalized_term
1475,1475,O-39,نبض متواتر,Nabḍ Mutawātir,rapid pulse,pulse having small pause between two beats,nabḍ mutawātir nabḍ mutawātir nabḍ mutawātir nabḍ mutawātir نبض متواتر نبض متواتر نبض متواتر نبض متواتر rapid pulse rapid pulse rapid pulse pulse having small pause between two beats,nabḍ mutawātir
1476,1476,O-40,نبض متفاوت,Nabḍ Mutafāwit,slow pulse,pulse having long duration of pause between two beats,nabḍ mutafāwit nabḍ mutafāwit nabḍ mutafāwit nabḍ mutafāwit نبض متفاوت نبض متفاوت نبض متفاوت نبض متفاوت slow pulse slow pulse slow pulse pulse having long duration of pause between two beats,nabḍ mutafāwit
1477,1477,O-41,نبض لين,Nabḍ Layyin,soft pulse,easily compressible pulse,nabḍ layyin nabḍ layyin nabḍ layyin nabḍ layyin نبض لين نبض لين نبض لين نبض لين soft pulse soft pulse soft pulse easily compressible pulse,nabḍ layyin
1478,1478,O-42,نبض صلب,Nabḍ Ṣulb,hard pulse,firm and incompressible pulse,nabḍ ṣulb nabḍ ṣulb nabḍ ṣulb nabḍ ṣulb نبض صلب نبض صلب نبض صلب نبض صلب hard pulse hard pulse hard pulse firm and incompressible pulse,nabḍ ṣulb
1479,1479,O-43,نبض ممتلى,Nabḍ Mumtalī,full pulse,pulse which seems to be full of blood,nabḍ mumtalī nabḍ mumtalī nabḍ mumtalī nabḍ mumtalī نبض ممتلى نبض ممتلى نبض ممتلى نبض ممتلى full pulse full pulse full pulse pulse which seems to be full of blood,nabḍ mumtalī
1480,1480,O-44,نبض خالى,Nabḍ Khālī,collapsing pulse,pulse which seems to be empty,nabḍ khālī nabḍ khālī nabḍ khālī nabḍ khālī نبض خالى نبض خالى نبض خالى نبض خالى collapsing pulse collapsing pulse collapsing pulse pulse which seems to be empty,nabḍ khālī
1481,1481,O-45,نبض حار,Nabḍ Ḥārr,hot pulse,pulse having higher temperature,nabḍ ḥārr nabḍ ḥārr nabḍ ḥārr nabḍ ḥārr نبض حار نبض حار نبض حار نبض حار hot pulse hot pulse hot pulse pulse having higher temperature,nabḍ ḥārr
1482,1482,O-46,نبض بارد,Nabḍ Bārid,cold pulse,pulse having lower degree of temperature,nabḍ bārid nabḍ bārid nabḍ bārid nabḍ bārid نبض بارد نبض بارد نبض بارد نبض بارد cold pulse cold pulse cold pulse pulse having lower degree of temperature,nabḍ bārid
1483,1483,O-47,نبض مستوى,Nabḍ Mustawī,equal pulse,"pulse equal in its five features, i.e., largeness and smallness, strength and weakness, swiftness and sluggishness, rapidness and slowness and hardness and softness","nabḍ mustawī nabḍ mustawī nabḍ mustawī nabḍ mustawī نبض مستوى نبض مستوى نبض مستوى نبض مستوى equal pulse equal pulse equal pulse pulse equal in its five features, i.e., largeness and smallness, strength and weakness, swiftness and sluggishness, rapidness and slowness and hardness and softness",nabḍ mustawī
1484,1484,O-48,نبض مستوى مطلق,"Nabḍ Mustawī
Muṭlaq",pulse equal in its five features,"pulse equal in largeness and smallness, strength and weakness, swiftness and sluggishness, rapidness and slowness and hardness and softness","nabḍ mustawī muṭlaq nabḍ mustawī muṭlaq nabḍ mustawī muṭlaq nabḍ mustawī muṭlaq نبض مستوى مطلق نبض مستوى مطلق نبض مستوى مطلق نبض مستوى مطلق pulse equal in its five features pulse equal in its five features pulse equal in its five features pulse equal in largeness and smallness, strength and weakness, swiftness and sluggishness, rapidness and slowness and hardness and softness",nabḍ mustawī muṭlaq
1485,1485,O-49,نبض مستوى مقيد,"Nabḍ Mustawī
Muqayyad",pulse equal in any one of its five features,"pulse which is equal in any one of its five  features, i.e., largeness and smallness, strength and weakness, swiftness and sluggishness, rapidness and slowness and hardness and softness","nabḍ mustawī muqayyad nabḍ mustawī muqayyad nabḍ mustawī muqayyad nabḍ mustawī muqayyad نبض مستوى مقيد نبض مستوى مقيد نبض مستوى مقيد نبض مستوى مقيد pulse equal in any one of its five features pulse equal in any one of its five features pulse equal in any one of its five features pulse which is equal in any one of its five features, i.e., largeness and smallness, strength and weakness, swiftness and sluggishness, rapidness and slowness and hardness and softness",nabḍ mustawī muqayyad
1486,1486,O-50,نبض مختلف,Nabḍ Mukhtalif,unequal pulse,"pulse unequal in  its five features, i.e., largeness and smallness, strength and weakness, swiftness and sluggishness, rapidness and slowness and hardness and softness","nabḍ mukhtalif nabḍ mukhtalif nabḍ mukhtalif nabḍ mukhtalif نبض مختلف نبض مختلف نبض مختلف نبض مختلف unequal pulse unequal pulse unequal pulse pulse unequal in its five features, i.e., largeness and smallness, strength and weakness, swiftness and sluggishness, rapidness and slowness and hardness and softness",nabḍ mukhtalif
1487,1487,O-51,نبض مختلف مطلق,"Nabḍ Mukhtalif
Muṭlaq",pulse unequal in its all five features,"pulse unequal in largeness and smallness, strength and weakness, swiftness and sluggishness, rapidness and slowness and hardness and softness","nabḍ mukhtalif muṭlaq nabḍ mukhtalif muṭlaq nabḍ mukhtalif muṭlaq nabḍ mukhtalif muṭlaq نبض مختلف مطلق نبض مختلف مطلق نبض مختلف مطلق نبض مختلف مطلق pulse unequal in its all five features pulse unequal in its all five features pulse unequal in its all five features pulse unequal in largeness and smallness, strength and weakness, swiftness and sluggishness, rapidness and slowness and hardness and softness",nabḍ mukhtalif muṭlaq
1488,1488,O-52,نبض مختلف مقيد,"Nabḍ Mukhtalif
Muqayyad",pulse unequal in any one of its five features,"pulse unequal in any one of its five  features, i.e., largeness and smallness, strength and weakness, swiftness and sluggishness, rapidness and slowness and hardness and softness","nabḍ mukhtalif muqayyad nabḍ mukhtalif muqayyad nabḍ mukhtalif muqayyad nabḍ mukhtalif muqayyad نبض مختلف مقيد نبض مختلف مقيد نبض مختلف مقيد نبض مختلف مقيد pulse unequal in any one of its five features pulse unequal in any one of its five features pulse unequal in any one of its five features pulse unequal in any one of its five features, i.e., largeness and smallness, strength and weakness, swiftness and sluggishness, rapidness and slowness and hardness and softness",nabḍ mukhtalif muqayyad
1489,1489,O-53,نبض منقطع,Nabḍ Munqaṭi‘,intermitting pulse,"variation of a pulse-beat felt only under one finger, which is marked by faint interruption","nabḍ munqaṭi‘ nabḍ munqaṭi‘ nabḍ munqaṭi‘ nabḍ munqaṭi‘ نبض منقطع نبض منقطع نبض منقطع نبض منقطع intermitting pulse intermitting pulse intermitting pulse variation of a pulse-beat felt only under one finger, which is marked by faint interruption",nabḍ munqaṭi‘
1490,1490,O-54,نبض عائد,Nabḍ ‘Ā’id,recurrent pulse,an abnormal condition of pulse in which a large pulse becomes small and returns to the original height in a gradual manner,nabḍ ‘ā’id nabḍ ‘ā’id nabḍ ‘ā’id nabḍ ‘ā’id نبض عائد نبض عائد نبض عائد نبض عائد recurrent pulse recurrent pulse recurrent pulse an abnormal condition of pulse in which a large pulse becomes small and returns to the original height in a gradual manner,nabḍ ‘ā’id
1491,1491,O-55,نبض متصل,Nabḍ Muttaṣil,continuous pulse,pulse in which the increase or decrease in any feature appears in such a gradual manner that the change can not be perceived,nabḍ muttaṣil nabḍ muttaṣil nabḍ muttaṣil nabḍ muttaṣil نبض متصل نبض متصل نبض متصل نبض متصل continuous pulse continuous pulse continuous pulse pulse in which the increase or decrease in any feature appears in such a gradual manner that the change can not be perceived,nabḍ muttaṣil
1492,1492,O-56,نبض مختلف منتظم,Nabḍ Mukhtalif Muntaẓim,regularly irregular pulse,"pulse, which varies according to a definite order","nabḍ mukhtalif muntaẓim nabḍ mukhtalif muntaẓim nabḍ mukhtalif muntaẓim nabḍ mukhtalif muntaẓim نبض مختلف منتظم نبض مختلف منتظم نبض مختلف منتظم نبض مختلف منتظم regularly irregular pulse regularly irregular pulse regularly irregular pulse pulse, which varies according to a definite order",nabḍ mukhtalif muntaẓim
1493,1493,O-57,نبض مختلف منتظم مطلق,Nabḍ Mukhtalif Muntaẓim Muṭlaq,regularly irregular pulse in general,pulse in which only one irregularity is repeated,nabḍ mukhtalif muntaẓim muṭlaq nabḍ mukhtalif muntaẓim muṭlaq nabḍ mukhtalif muntaẓim muṭlaq nabḍ mukhtalif muntaẓim muṭlaq نبض مختلف منتظم مطلق نبض مختلف منتظم مطلق نبض مختلف منتظم مطلق نبض مختلف منتظم مطلق regularly irregular pulse in general regularly irregular pulse in general regularly irregular pulse in general pulse in which only one irregularity is repeated,nabḍ mukhtalif muntaẓim muṭlaq
1494,1494,O-58,نبض مختلف منتظم دائر,Nabḍ Mukhtalif Muntaẓim Dā’ir,recurrent regularly irregular pulse,"pulse, in which two or more irregularities go on repeating in cycles","nabḍ mukhtalif muntaẓim dā’ir nabḍ mukhtalif muntaẓim dā’ir nabḍ mukhtalif muntaẓim dā’ir nabḍ mukhtalif muntaẓim dā’ir نبض مختلف منتظم دائر نبض مختلف منتظم دائر نبض مختلف منتظم دائر نبض مختلف منتظم دائر recurrent regularly irregular pulse recurrent regularly irregular pulse recurrent regularly irregular pulse pulse, in which two or more irregularities go on repeating in cycles",nabḍ mukhtalif muntaẓim dā’ir
1495,1495,O-59,نبض مختلف غیرمنتظم,Nabḍ Mukhtalif Ghayr Muntaẓim,irregularly irregular pulse,"pulse, which does not vary according to a definite order","nabḍ mukhtalif ghayr muntaẓim nabḍ mukhtalif ghayr muntaẓim nabḍ mukhtalif ghayr muntaẓim nabḍ mukhtalif ghayr muntaẓim نبض مختلف غیرمنتظم نبض مختلف غیرمنتظم نبض مختلف غیرمنتظم نبض مختلف غیرمنتظم irregularly irregular pulse irregularly irregular pulse irregularly irregular pulse pulse, which does not vary according to a definite order",nabḍ mukhtalif ghayr muntaẓim
1496,1496,O-60,نبض جيد الوزن,Nabḍ Jayyid al-Wazn,pulse having normal rhythm,pulse having rhythm in accordance with the age of person,nabḍ jayyid al-wazn nabḍ jayyid al-wazn nabḍ jayyid al-wazn nabḍ jayyid al-wazn نبض جيد الوزن نبض جيد الوزن نبض جيد الوزن نبض جيد الوزن pulse having normal rhythm pulse having normal rhythm pulse having normal rhythm pulse having rhythm in accordance with the age of person,nabḍ jayyid al-wazn
