Sr No.,NUMC_ID,NUMC_CODE,Arabic_term,NUMC_TERM,Short_definition,Long_definition,query,normalized_term
360,359,C-76,تزيد الاسنان,Tazayyud al-Asnān,Odontitis,Increase in the level of teeth which can be due to inflammation.When this inflammation is <em>Damawī</em> (sanguineous) in nature the increase is accompanied with pain. When the inflammation is <em>Balghamī</em> (phlegmatic) in nature this increase will be without pain.,tazayyud al-asnān tazayyud al-asnān tazayyud al-asnān tazayyud al-asnān تزيد الاسنان تزيد الاسنان تزيد الاسنان تزيد الاسنان odontitis odontitis odontitis increase in the level of teeth which can be due to inflammation.when this inflammation is <em>damawī</em> (sanguineous) in nature the increase is accompanied with pain. when the inflammation is <em>balghamī</em> (phlegmatic) in nature this increase will be without pain.,tazayyud al-asnān
361,360,C-77,تغيرلون الاسنان,Taghayyur Lawn al-Asnān,Discolouration of teeth,"Discolouration of teeth caused by the infiltration of morbid humours in the teeth. In this condition colour of teeth becomes blue, violet, or yellow depending on the humour involved.","taghayyur lawn al-asnān taghayyur lawn al-asnān taghayyur lawn al-asnān taghayyur lawn al-asnān تغيرلون الاسنان تغيرلون الاسنان تغيرلون الاسنان تغيرلون الاسنان discolouration of teeth discolouration of teeth discolouration of teeth discolouration of teeth caused by the infiltration of morbid humours in the teeth. in this condition colour of teeth becomes blue, violet, or yellow depending on the humour involved.",taghayyur lawn al-asnān
362,361,C-78,صرير الاسنان,Ṣarīr al-Asnān,Odontoprisis,"Grinding of teeth during sleep. The condition usually occurs in children and subsides during adolescence. It is caused by the weakness of muscles of jaws. It is a prodromal symptom of paralysis, facial paralysis or epilepsy as there is an accumulation of fluid in nerves. The condition also occurs due to worm infestation and morbid humours which irritate the brain. It may also occur in severe pain.","ṣarīr al-asnān ṣarīr al-asnān ṣarīr al-asnān ṣarīr al-asnān صرير الاسنان صرير الاسنان صرير الاسنان صرير الاسنان odontoprisis odontoprisis odontoprisis grinding of teeth during sleep. the condition usually occurs in children and subsides during adolescence. it is caused by the weakness of muscles of jaws. it is a prodromal symptom of paralysis, facial paralysis or epilepsy as there is an accumulation of fluid in nerves. the condition also occurs due to worm infestation and morbid humours which irritate the brain. it may also occur in severe pain.",ṣarīr al-asnān
363,362,C-79,تحرك الاسنان,Taḥarruk al-Asnān,Odontoseisis,"Loosening of teeth caused by old age, trauma, acute inflammation of the gums, general debility, anaemia, decay of gums and flaccidity of muscles.","taḥarruk al-asnān taḥarruk al-asnān taḥarruk al-asnān taḥarruk al-asnān تحرك الاسنان تحرك الاسنان تحرك الاسنان تحرك الاسنان odontoseisis odontoseisis odontoseisis loosening of teeth caused by old age, trauma, acute inflammation of the gums, general debility, anaemia, decay of gums and flaccidity of muscles.",taḥarruk al-asnān
364,363,C-80,سقوط الاسنان,Suqūṭ al-Asnān,teeth falling,"Falling of teeth caused by old age, trauma, anaemia, etc.","suqūṭ al-asnān suqūṭ al-asnān suqūṭ al-asnān suqūṭ al-asnān سقوط الاسنان سقوط الاسنان سقوط الاسنان سقوط الاسنان teeth falling teeth falling teeth falling falling of teeth caused by old age, trauma, anaemia, etc.",suqūṭ al-asnān
365,364,C-81,تاكل الاسنان,Ta’akkul al-Asnān,Dental caries,"Decaying of teeth due to old age, predominance of dryness and putrified humours.","ta’akkul al-asnān ta’akkul al-asnān ta’akkul al-asnān ta’akkul al-asnān تاكل الاسنان تاكل الاسنان تاكل الاسنان تاكل الاسنان dental caries dental caries dental caries decaying of teeth due to old age, predominance of dryness and putrified humours.",ta’akkul al-asnān
366,365,C-82,تفتت الاسنان/ تكسر الاسنان,Tafattut al-Asnān/ Takassur al-Asnān,breaking down of teeth into smaller pieces,Breaking of teeth.,tafattut al-asnān/ takassur al-asnān tafattut al-asnān/ takassur al-asnān tafattut al-asnān/ takassur al-asnān tafattut al-asnān/ takassur al-asnān تفتت الاسنان/ تكسر الاسنان تفتت الاسنان/ تكسر الاسنان تفتت الاسنان/ تكسر الاسنان تفتت الاسنان/ تكسر الاسنان breaking down of teeth into smaller pieces breaking down of teeth into smaller pieces breaking down of teeth into smaller pieces breaking of teeth.,tafattut al-asnān/ takassur al-asnān
367,366,C-83,تنقب الاسنان,Tanaqqub al-Asnān,Dental cavities,Cavities formed in the teeth due to the presence of putrified humours. It is an advance stage of dental caries,tanaqqub al-asnān tanaqqub al-asnān tanaqqub al-asnān tanaqqub al-asnān تنقب الاسنان تنقب الاسنان تنقب الاسنان تنقب الاسنان dental cavities dental cavities dental cavities cavities formed in the teeth due to the presence of putrified humours. it is an advance stage of dental caries,tanaqqub al-asnān
368,367,C-84,حكة الاسنان,Ḥikka al-Asnān,Dental irritation,"Itching or irritation of teeth caused by intake of water mixed with salt, sulphur, etc. and intake of diets or food which produce acrid humours and may cause itching of the whole body.","ḥikka al-asnān ḥikka al-asnān ḥikka al-asnān ḥikka al-asnān حكة الاسنان حكة الاسنان حكة الاسنان حكة الاسنان dental irritation dental irritation dental irritation itching or irritation of teeth caused by intake of water mixed with salt, sulphur, etc. and intake of diets or food which produce acrid humours and may cause itching of the whole body.",ḥikka al-asnān
369,368,C-85,ضرس,Ḍirs,Dental anaesthesia,Insensitivity of teeth due to astringent and sour humour which causes roughening of teeth.,ḍirs ḍirs ḍirs ḍirs ضرس ضرس ضرس ضرس dental anaesthesia dental anaesthesia dental anaesthesia insensitivity of teeth due to astringent and sour humour which causes roughening of teeth.,ḍirs
370,369,C-86,ذهاب ماء الاسنان,Dhahāb Mā’ al-Asnān,Dental hyperaesthesia,Increased sensitivity of teeth due to loss of its upper most covering. In this condition there is increased sensation to cold and hot things.,dhahāb mā’ al-asnān dhahāb mā’ al-asnān dhahāb mā’ al-asnān dhahāb mā’ al-asnān ذهاب ماء الاسنان ذهاب ماء الاسنان ذهاب ماء الاسنان ذهاب ماء الاسنان dental hyperaesthesia dental hyperaesthesia dental hyperaesthesia increased sensitivity of teeth due to loss of its upper most covering. in this condition there is increased sensation to cold and hot things.,dhahāb mā’ al-asnān
371,370,C-87,دود الاسنان/ قادح,Dūd al-Asnān/ Qādiḥ,tooth worm,A condition in which pain of the teeth is caused by the presence of worms in them. It may damage the roots of teeth.,dūd al-asnān/ qādiḥ dūd al-asnān/ qādiḥ dūd al-asnān/ qādiḥ dūd al-asnān/ qādiḥ دود الاسنان/ قادح دود الاسنان/ قادح دود الاسنان/ قادح دود الاسنان/ قادح tooth worm tooth worm tooth worm a condition in which pain of the teeth is caused by the presence of worms in them. it may damage the roots of teeth.,dūd al-asnān/ qādiḥ
372,371,C-88,ورم اللثة,Waram al-Litha,Gingivitis,"Inflammation of gums that can be of three types: <em>Ḥārr</em> is characterised by severe pain, <em>Ḥumra</em> has severe pain, burning and redness of gums. <em>Balghamī</em> has less pain and white swollen gums.","waram al-litha waram al-litha waram al-litha waram al-litha ورم اللثة ورم اللثة ورم اللثة ورم اللثة gingivitis gingivitis gingivitis inflammation of gums that can be of three types: <em>ḥārr</em> is characterised by severe pain, <em>ḥumra</em> has severe pain, burning and redness of gums. <em>balghamī</em> has less pain and white swollen gums.",waram al-litha
373,372,C-89,لثہ داميہ,Litha Dāmiya,Bleeding gums,Bleeding from the gums. It is caused by weakness of the digestive faculty of gums due to which gums cannot use the blood for their nutrition.,litha dāmiya litha dāmiya litha dāmiya litha dāmiya لثہ داميہ لثہ داميہ لثہ داميہ لثہ داميہ bleeding gums bleeding gums bleeding gums bleeding from the gums. it is caused by weakness of the digestive faculty of gums due to which gums cannot use the blood for their nutrition.,litha dāmiya
374,373,C-90,قروح اللثة,Qurūḥ al-Litha,Gingival ulcers,"Ulcers of the gums which are of two types: 1. simple ulcers, 2. infected ulcers.","qurūḥ al-litha qurūḥ al-litha qurūḥ al-litha qurūḥ al-litha قروح اللثة قروح اللثة قروح اللثة قروح اللثة gingival ulcers gingival ulcers gingival ulcers ulcers of the gums which are of two types: 1. simple ulcers, 2. infected ulcers.",qurūḥ al-litha
375,374,C-91,نواصير اللثة,Nawāṣīr al-Litha,Pyorrhoea alveolaris,"Perforating ulcers of the gums from which there is continuous discharge of pus due to inadequate dental hygiene. In this condition, gums become spongy and swollen.","nawāṣīr al-litha nawāṣīr al-litha nawāṣīr al-litha nawāṣīr al-litha نواصير اللثة نواصير اللثة نواصير اللثة نواصير اللثة pyorrhoea alveolaris pyorrhoea alveolaris pyorrhoea alveolaris perforating ulcers of the gums from which there is continuous discharge of pus due to inadequate dental hygiene. in this condition, gums become spongy and swollen.",nawāṣīr al-litha
376,375,C-92,استرخاء اللثة,Istirkhā’ al-Litha,Spongy gums,Flaccidity of the gums in which they become spongy.,istirkhā’ al-litha istirkhā’ al-litha istirkhā’ al-litha istirkhā’ al-litha استرخاء اللثة استرخاء اللثة استرخاء اللثة استرخاء اللثة spongy gums spongy gums spongy gums flaccidity of the gums in which they become spongy.,istirkhā’ al-litha
377,376,C-93,لحم زائد في اللثة,Laḥm Zā’id fi’l Litha,hard swelling on the gums,Inflammatory condition which occurs in the molar teeth and creates a foreign body sensation in the teeth.,laḥm zā’id fi’l litha laḥm zā’id fi’l litha laḥm zā’id fi’l litha laḥm zā’id fi’l litha لحم زائد في اللثة لحم زائد في اللثة لحم زائد في اللثة لحم زائد في اللثة hard swelling on the gums hard swelling on the gums hard swelling on the gums inflammatory condition which occurs in the molar teeth and creates a foreign body sensation in the teeth.,laḥm zā’id fi’l litha
378,377,C-94,تقيح اللثة,Taqayyuḥ al-Litha,Pyorrhoea,Formation of pus in the gums.,taqayyuḥ al-litha taqayyuḥ al-litha taqayyuḥ al-litha taqayyuḥ al-litha تقيح اللثة تقيح اللثة تقيح اللثة تقيح اللثة pyorrhoea pyorrhoea pyorrhoea formation of pus in the gums.,taqayyuḥ al-litha
379,378,C-95,بولس,Bolas,Gingival hypertrophy,Hypertrophy of gums in between the teeth is known as <em>Bolas</em>. This is treated surgically by removing the excess growth of gums.,bolas bolas bolas bolas بولس بولس بولس بولس gingival hypertrophy gingival hypertrophy gingival hypertrophy hypertrophy of gums in between the teeth is known as <em>bolas</em>. this is treated surgically by removing the excess growth of gums.,bolas
380,379,C-96,فارولس,Fārūlas,Gingival abscess,A small abscess in the gums. It should be punctured to remove pus from it.,fārūlas fārūlas fārūlas fārūlas فارولس فارولس فارولس فارولس gingival abscess gingival abscess gingival abscess a small abscess in the gums. it should be punctured to remove pus from it.,fārūlas
381,380,C-97,خناق/ ذبحہ,Khunāq/ Dhabḥa,Ludwig’s angina,"Its literal meaning is choking. It is an inflammation of external pharynx and larynx or muscles of upper part of oesophagus. The condition leads to difficulty in breathing and swallowing. Depending on the humours involved it is divided into four types i.e. <em>Khunāq Damawī</em> (sanguineous), <em>Ṣafrāwī</em> (bilious), <em>Sawdāwī</em> (melancholic), and <em>Balghamī</em> (phlegmatic).","khunāq/ dhabḥa khunāq/ dhabḥa khunāq/ dhabḥa khunāq/ dhabḥa خناق/ ذبحہ خناق/ ذبحہ خناق/ ذبحہ خناق/ ذبحہ ludwig’s angina ludwig’s angina ludwig’s angina its literal meaning is choking. it is an inflammation of external pharynx and larynx or muscles of upper part of oesophagus. the condition leads to difficulty in breathing and swallowing. depending on the humours involved it is divided into four types i.e. <em>khunāq damawī</em> (sanguineous), <em>ṣafrāwī</em> (bilious), <em>sawdāwī</em> (melancholic), and <em>balghamī</em> (phlegmatic).",khunāq/ dhabḥa
382,381,C-97.1,خناق وبائي/ ورم الحنجرة حادغشائي/ خناقي,Khunāq Wabā’ī/Waram al-Ḥanjara Ḥādd Ghishā’ī/Khunāqī,Diphtheria,A severe type of inflammation of internal muscles of pharynx or larynx which is infectious in nature. This is accompanied with the formation of false membrane in the pharynx.,khunāq wabā’ī/waram al-ḥanjara ḥādd ghishā’ī/khunāqī khunāq wabā’ī/waram al-ḥanjara ḥādd ghishā’ī/khunāqī khunāq wabā’ī/waram al-ḥanjara ḥādd ghishā’ī/khunāqī khunāq wabā’ī/waram al-ḥanjara ḥādd ghishā’ī/khunāqī خناق وبائي/ ورم الحنجرة حادغشائي/ خناقي خناق وبائي/ ورم الحنجرة حادغشائي/ خناقي خناق وبائي/ ورم الحنجرة حادغشائي/ خناقي خناق وبائي/ ورم الحنجرة حادغشائي/ خناقي diphtheria diphtheria diphtheria a severe type of inflammation of internal muscles of pharynx or larynx which is infectious in nature. this is accompanied with the formation of false membrane in the pharynx.,khunāq wabā’ī/waram al-ḥanjara ḥādd ghishā’ī/khunāqī
383,382,C-97.2,خناق كلبي,Khunāq Kalbī,inflammation of internal laryngeal muscles,The inflammation of internal muscles of larynx which in turn leads to change of voice similar to that of a dog.,khunāq kalbī khunāq kalbī khunāq kalbī khunāq kalbī خناق كلبي خناق كلبي خناق كلبي خناق كلبي inflammation of internal laryngeal muscles inflammation of internal laryngeal muscles inflammation of internal laryngeal muscles the inflammation of internal muscles of larynx which in turn leads to change of voice similar to that of a dog.,khunāq kalbī
384,383,C-98,ورم حلق,Waram-i-Ḥalaq,Pharyngitis,The inflammation of pharynx.,waram-i-ḥalaq waram-i-ḥalaq waram-i-ḥalaq waram-i-ḥalaq ورم حلق ورم حلق ورم حلق ورم حلق pharyngitis pharyngitis pharyngitis the inflammation of pharynx.,waram-i-ḥalaq
385,384,C-98.1,ورم الحلق خارجي,Waram al-Ḥalaq Khārijī,Acute pharyngitis,External inflammation of pharynx. It is of two types i.e. <em>Damawī</em> (sanguineous) and <em>Balghamī</em> (phlegmatic).,waram al-ḥalaq khārijī waram al-ḥalaq khārijī waram al-ḥalaq khārijī waram al-ḥalaq khārijī ورم الحلق خارجي ورم الحلق خارجي ورم الحلق خارجي ورم الحلق خارجي acute pharyngitis acute pharyngitis acute pharyngitis external inflammation of pharynx. it is of two types i.e. <em>damawī</em> (sanguineous) and <em>balghamī</em> (phlegmatic).,waram al-ḥalaq khārijī
386,385,C-99,خراج حلقي خلفي,Khurāj Ḥalaqī Khalfī,Retropharyngeal abscess,It is the abscess of the posterior part of pharynx.,khurāj ḥalaqī khalfī khurāj ḥalaqī khalfī khurāj ḥalaqī khalfī khurāj ḥalaqī khalfī خراج حلقي خلفي خراج حلقي خلفي خراج حلقي خلفي خراج حلقي خلفي retropharyngeal abscess retropharyngeal abscess retropharyngeal abscess it is the abscess of the posterior part of pharynx.,khurāj ḥalaqī khalfī
387,386,C-100,سقوط اللهاة,Suqūṭ al-Lahāh,Uvuloptosis,Literal meaning of <em>Suqūṭ</em> is “to drop or fall”. In this condition uvula becomes flaccid and hangs loosely in the throat. Patient feels a foreign body sensation in the throat. On examination the elongated uvula can be seen easily. Sometimes it becomes so elongated that the patient feels difficulty in swallowing the food and coughs frequently. It is caused either due to the predominance of blood or phlegm in the body.,suqūṭ al-lahāh suqūṭ al-lahāh suqūṭ al-lahāh suqūṭ al-lahāh سقوط اللهاة سقوط اللهاة سقوط اللهاة سقوط اللهاة uvuloptosis uvuloptosis uvuloptosis literal meaning of <em>suqūṭ</em> is “to drop or fall”. in this condition uvula becomes flaccid and hangs loosely in the throat. patient feels a foreign body sensation in the throat. on examination the elongated uvula can be seen easily. sometimes it becomes so elongated that the patient feels difficulty in swallowing the food and coughs frequently. it is caused either due to the predominance of blood or phlegm in the body.,suqūṭ al-lahāh
388,387,C-101,ورم لہات,Waram-i-Lahāt,Uvulitis,"It is the inflammation of uvula caused by predominance of sanguine, yellow bile, phlegm or black bile. Most often it occurs due to infiltration of catarrhal fluids from head in to it.","waram-i-lahāt waram-i-lahāt waram-i-lahāt waram-i-lahāt ورم لہات ورم لہات ورم لہات ورم لہات uvulitis uvulitis uvulitis it is the inflammation of uvula caused by predominance of sanguine, yellow bile, phlegm or black bile. most often it occurs due to infiltration of catarrhal fluids from head in to it.",waram-i-lahāt
389,388,C-101.1,ورم لہات دموي,Waram-i-Lahāt Damawī,Sanguineous uvulitis,"A type of inflammation of uvula caused by the predominance of sanguine and is characterized redness, burning sensation and swelling with little pain.","waram-i-lahāt damawī waram-i-lahāt damawī waram-i-lahāt damawī waram-i-lahāt damawī ورم لہات دموي ورم لہات دموي ورم لہات دموي ورم لہات دموي sanguineous uvulitis sanguineous uvulitis sanguineous uvulitis a type of inflammation of uvula caused by the predominance of sanguine and is characterized redness, burning sensation and swelling with little pain.",waram-i-lahāt damawī
390,389,C-101.2,ورم لہات صفراوی,Waram-i-Lahāt Ṣafrāwī,Bilious uvulitis,"A type of inflammation of uvula caused by the predominance of <em>Ṣafrā’</em> (yellow bile). It is characterized by severe inflammation, piercing pain, excessive thirst and dryness of mouth, etc.","waram-i-lahāt ṣafrāwī waram-i-lahāt ṣafrāwī waram-i-lahāt ṣafrāwī waram-i-lahāt ṣafrāwī ورم لہات صفراوی ورم لہات صفراوی ورم لہات صفراوی ورم لہات صفراوی bilious uvulitis bilious uvulitis bilious uvulitis a type of inflammation of uvula caused by the predominance of <em>ṣafrā’</em> (yellow bile). it is characterized by severe inflammation, piercing pain, excessive thirst and dryness of mouth, etc.",waram-i-lahāt ṣafrāwī
391,390,C-101.3,ورم لہات بلغمی,Waram-i-Lahāt Balghamī,Phlegmatic uvulitis,A type of inflammation of uvula caused by the predominance of <em>Balgham</em> (phlegm). It is characterized by whitish swelling with lesser pain.,waram-i-lahāt balghamī waram-i-lahāt balghamī waram-i-lahāt balghamī waram-i-lahāt balghamī ورم لہات بلغمی ورم لہات بلغمی ورم لہات بلغمی ورم لہات بلغمی phlegmatic uvulitis phlegmatic uvulitis phlegmatic uvulitis a type of inflammation of uvula caused by the predominance of <em>balgham</em> (phlegm). it is characterized by whitish swelling with lesser pain.,waram-i-lahāt balghamī
392,391,C-101.4,ورم لہات سوداوی,Waram-i-Lahāt Sawdāwī,Melancholic uvulitis,"A type of inflammation of uvula caused by the predominance of <em>Sawdā’</em> (black bile). It is characterized by black, firm swelling along with blackening of palate, tongue and sour taste of mouth.","waram-i-lahāt sawdāwī waram-i-lahāt sawdāwī waram-i-lahāt sawdāwī waram-i-lahāt sawdāwī ورم لہات سوداوی ورم لہات سوداوی ورم لہات سوداوی ورم لہات سوداوی melancholic uvulitis melancholic uvulitis melancholic uvulitis a type of inflammation of uvula caused by the predominance of <em>sawdā’</em> (black bile). it is characterized by black, firm swelling along with blackening of palate, tongue and sour taste of mouth.",waram-i-lahāt sawdāwī
393,392,C-101.5,ورم لہات نزلی,Waram-i-Lahāt Nazlī,Catarrhal uvulitis,A type of inflammation of uvula caused by infiltration of catarrh into uvula.,waram-i-lahāt nazlī waram-i-lahāt nazlī waram-i-lahāt nazlī waram-i-lahāt nazlī ورم لہات نزلی ورم لہات نزلی ورم لہات نزلی ورم لہات نزلی catarrhal uvulitis catarrhal uvulitis catarrhal uvulitis a type of inflammation of uvula caused by infiltration of catarrh into uvula.,waram-i-lahāt nazlī
394,393,C-102,تشنج البلعوم,Tashannuj al-Bal‘ūm,Pharyngeal spasm,The spasm of muscles of pharynx.,tashannuj al-bal‘ūm tashannuj al-bal‘ūm tashannuj al-bal‘ūm tashannuj al-bal‘ūm تشنج البلعوم تشنج البلعوم تشنج البلعوم تشنج البلعوم pharyngeal spasm pharyngeal spasm pharyngeal spasm the spasm of muscles of pharynx.,tashannuj al-bal‘ūm
395,394,C-103,تشنج الحنجرة,Tashannuj al-Ḥanjara,Laryngismus,The spasm of muscles of larynx with stridor.,tashannuj al-ḥanjara tashannuj al-ḥanjara tashannuj al-ḥanjara tashannuj al-ḥanjara تشنج الحنجرة تشنج الحنجرة تشنج الحنجرة تشنج الحنجرة laryngismus laryngismus laryngismus the spasm of muscles of larynx with stridor.,tashannuj al-ḥanjara
396,395,C-104,ورم الحنجرة,Waram al-Ḥanjara,Laryngitis,The inflammation of larynx.,waram al-ḥanjara waram al-ḥanjara waram al-ḥanjara waram al-ḥanjara ورم الحنجرة ورم الحنجرة ورم الحنجرة ورم الحنجرة laryngitis laryngitis laryngitis the inflammation of larynx.,waram al-ḥanjara
397,396,C-104.1,ورم الحنجرة حاد,Waram al-Ḥanjara Ḥādd,Acute laryngitis,Acute inflammation of larynx.,waram al-ḥanjara ḥādd waram al-ḥanjara ḥādd waram al-ḥanjara ḥādd waram al-ḥanjara ḥādd ورم الحنجرة حاد ورم الحنجرة حاد ورم الحنجرة حاد ورم الحنجرة حاد acute laryngitis acute laryngitis acute laryngitis acute inflammation of larynx.,waram al-ḥanjara ḥādd
398,397,C-104.2,ورم الحنجرة حاد نزلي,Waram al-Ḥanjara Ḥādd Nazlī,Catarrhal laryngitis,Acute inflammation of larynx accompanied with cold and catarrh.,waram al-ḥanjara ḥādd nazlī waram al-ḥanjara ḥādd nazlī waram al-ḥanjara ḥādd nazlī waram al-ḥanjara ḥādd nazlī ورم الحنجرة حاد نزلي ورم الحنجرة حاد نزلي ورم الحنجرة حاد نزلي ورم الحنجرة حاد نزلي catarrhal laryngitis catarrhal laryngitis catarrhal laryngitis acute inflammation of larynx accompanied with cold and catarrh.,waram al-ḥanjara ḥādd nazlī
399,398,C-104.3,ورم الحنجرة حاد تهبجي,Waram al-Ḥanjara Ḥādd Tahabbujī,Oedematous laryngitis,Acute inflammation of larynx accompanied with oedema/swelling of larynx.,waram al-ḥanjara ḥādd tahabbujī waram al-ḥanjara ḥādd tahabbujī waram al-ḥanjara ḥādd tahabbujī waram al-ḥanjara ḥādd tahabbujī ورم الحنجرة حاد تهبجي ورم الحنجرة حاد تهبجي ورم الحنجرة حاد تهبجي ورم الحنجرة حاد تهبجي oedematous laryngitis oedematous laryngitis oedematous laryngitis acute inflammation of larynx accompanied with oedema/swelling of larynx.,waram al-ḥanjara ḥādd tahabbujī
400,399,C-105,استرخاء الحنجرة,Istirkhā’ al-Ḥanjara,Laryngoptosis,"The flaccidity of laryngeal muscles due to the infiltration of fluids in them. In this condition, the movement of larynx get stopped.","istirkhā’ al-ḥanjara istirkhā’ al-ḥanjara istirkhā’ al-ḥanjara istirkhā’ al-ḥanjara استرخاء الحنجرة استرخاء الحنجرة استرخاء الحنجرة استرخاء الحنجرة laryngoptosis laryngoptosis laryngoptosis the flaccidity of laryngeal muscles due to the infiltration of fluids in them. in this condition, the movement of larynx get stopped.",istirkhā’ al-ḥanjara
401,400,C-106,قذ یٰ الحنجرة,Qadhā al-Ḥanjara,Foreign body in larynx,The presence of a living or non-living foreign body in larynx.,qadhā al-ḥanjara qadhā al-ḥanjara qadhā al-ḥanjara qadhā al-ḥanjara قذ یٰ الحنجرة قذ یٰ الحنجرة قذ یٰ الحنجرة قذ یٰ الحنجرة foreign body in larynx foreign body in larynx foreign body in larynx the presence of a living or non-living foreign body in larynx.,qadhā al-ḥanjara
402,401,C-107,ورم اللوزتين,Waram al-Lawzatayn,Tonsillitis,"The inflammation of tonsils. Depending on the humours involved, it is of four types i.e. <em>Damawī</em> (sanguineous), <em>Balghamī</em> (phlegmatic), <em>Ṣafrāwī</em> (bilious) and <em>Sawdāwī</em> (melancholic).","waram al-lawzatayn waram al-lawzatayn waram al-lawzatayn waram al-lawzatayn ورم اللوزتين ورم اللوزتين ورم اللوزتين ورم اللوزتين tonsillitis tonsillitis tonsillitis the inflammation of tonsils. depending on the humours involved, it is of four types i.e. <em>damawī</em> (sanguineous), <em>balghamī</em> (phlegmatic), <em>ṣafrāwī</em> (bilious) and <em>sawdāwī</em> (melancholic).",waram al-lawzatayn
403,402,C-108,وجع الحلق,Waja‘ al-Ḥalaq,Pharyngeal pain,Pain in the throat due to the involvement of humours or some injury of throat.,waja‘ al-ḥalaq waja‘ al-ḥalaq waja‘ al-ḥalaq waja‘ al-ḥalaq وجع الحلق وجع الحلق وجع الحلق وجع الحلق pharyngeal pain pharyngeal pain pharyngeal pain pain in the throat due to the involvement of humours or some injury of throat.,waja‘ al-ḥalaq
404,403,C-109,التهاب تجاويف حلقومي انفي,Iltihāb-i-Tajāwīf Ḥulqūmī Anfī,Adenoiditis,Inflammation of lymphoid follicles present in the wall of pharyngeal recess of nasopharynx.,iltihāb-i-tajāwīf ḥulqūmī anfī iltihāb-i-tajāwīf ḥulqūmī anfī iltihāb-i-tajāwīf ḥulqūmī anfī iltihāb-i-tajāwīf ḥulqūmī anfī التهاب تجاويف حلقومي انفي التهاب تجاويف حلقومي انفي التهاب تجاويف حلقومي انفي التهاب تجاويف حلقومي انفي adenoiditis adenoiditis adenoiditis inflammation of lymphoid follicles present in the wall of pharyngeal recess of nasopharynx.,iltihāb-i-tajāwīf ḥulqūmī anfī
405,404,C-110,وابلہ/ وجع العنق عصبي,Wābila/Waja‘ al-‘Unuq ‘Aṣabī,Cervicobrachial neuralgia,A severe type of pain of throat which is produced by spasm of nerves and vessels of the neck. If it is due to the spasm of arteries then it is fatal. If the cause is the spasm of nerves then it is not fatal.,wābila/waja‘ al-‘unuq ‘aṣabī wābila/waja‘ al-‘unuq ‘aṣabī wābila/waja‘ al-‘unuq ‘aṣabī wābila/waja‘ al-‘unuq ‘aṣabī وابلہ/ وجع العنق عصبي وابلہ/ وجع العنق عصبي وابلہ/ وجع العنق عصبي وابلہ/ وجع العنق عصبي cervicobrachial neuralgia cervicobrachial neuralgia cervicobrachial neuralgia a severe type of pain of throat which is produced by spasm of nerves and vessels of the neck. if it is due to the spasm of arteries then it is fatal. if the cause is the spasm of nerves then it is not fatal.,wābila/waja‘ al-‘unuq ‘aṣabī
406,405,C-111,غصة الطعام,Ghuṣṣa al-Ṭa‘ām,food bolus impaction,The choking of bolus and liquids in the throat.,ghuṣṣa al-ṭa‘ām ghuṣṣa al-ṭa‘ām ghuṣṣa al-ṭa‘ām ghuṣṣa al-ṭa‘ām غصة الطعام غصة الطعام غصة الطعام غصة الطعام food bolus impaction food bolus impaction food bolus impaction the choking of bolus and liquids in the throat.,ghuṣṣa al-ṭa‘ām
407,406,C-112,شرق,Sharq,liquid aspiration,A condition in which the water enters in larynx and trachea instead of pharynx.,sharq sharq sharq sharq شرق شرق شرق شرق liquid aspiration liquid aspiration liquid aspiration a condition in which the water enters in larynx and trachea instead of pharynx.,sharq
408,407,C-113,بلع الابرة,Bal‘ al-Ibra,needle ingestion,The swallowing of needle.,bal‘ al-ibra bal‘ al-ibra bal‘ al-ibra bal‘ al-ibra بلع الابرة بلع الابرة بلع الابرة بلع الابرة needle ingestion needle ingestion needle ingestion the swallowing of needle.,bal‘ al-ibra
409,408,C-114,غرق الماء,Gharq al-Mā’,Drowning,Drowning or submersion in water.,gharq al-mā’ gharq al-mā’ gharq al-mā’ gharq al-mā’ غرق الماء غرق الماء غرق الماء غرق الماء drowning drowning drowning drowning or submersion in water.,gharq al-mā’
410,409,C-115,گلوبسته,Gulūbasta,ligation/tying of throat,Ligation/tying of throat with rope or any ligature. It leads to asphyxia which in turn leads to death. It is also known as <em>Makhnūq ba Wahaq</em>.,gulūbasta gulūbasta gulūbasta gulūbasta گلوبسته گلوبسته گلوبسته گلوبسته ligation/tying of throat ligation/tying of throat ligation/tying of throat ligation/tying of throat with rope or any ligature. it leads to asphyxia which in turn leads to death. it is also known as <em>makhnūq ba wahaq</em>.,gulūbasta
411,410,C-116,تشبث العلق والشوك في الحلق,Tashabbuth al-‘Alaq wa’l Shawk fi’l Ḥalaq,sticking of leech or stucking of bone of fish in the throat,Sticking of leech or bone of fish in the throat.,tashabbuth al-‘alaq wa’l shawk fi’l ḥalaq tashabbuth al-‘alaq wa’l shawk fi’l ḥalaq tashabbuth al-‘alaq wa’l shawk fi’l ḥalaq tashabbuth al-‘alaq wa’l shawk fi’l ḥalaq تشبث العلق والشوك في الحلق تشبث العلق والشوك في الحلق تشبث العلق والشوك في الحلق تشبث العلق والشوك في الحلق sticking of leech or stucking of bone of fish in the throat sticking of leech or stucking of bone of fish in the throat sticking of leech or stucking of bone of fish in the throat sticking of leech or bone of fish in the throat.,tashabbuth al-‘alaq wa’l shawk fi’l ḥalaq
