Sr No.,NAMC_ID,NAMC_CODE,NAMC_term,NAMC_term_diacritical,NAMC_term_DEVANAGARI,Short_definition,Long_definition,Ontology_branches,Name English,Name English Under Index,Primary Index Related,query,normalized_term
242,240,AAE-8,asRuggatavAtaH/raktagatavAta,asr̥ggatavātaḥ/raktagatavāta,असृग्गतवातः/रक्तगतवात,-,"the disorder is characterized by rujastīvrāḥ [acute pain], sasantāpāḥ [with burning sensation], vaivarṇyaṁ [discolouration], kr̥śatā [emaciation], aruciḥ [tastelessness], gātrē cārūṁṣi [appearance of rash/scabs on the body], bhuktasya stambhaḥ gātrē [stiffness of the body after taking food], svāpam [sleepiness/numbness], rāgam [redness/congestion], annasya viṣṭambhaḥ [indigestion of food], bhramaḥ [giddiness or dizziness], vraṇaḥ [wound/ulcer/sore]",-,vitiated vāta in rakta,-,-,"asr̥ggatavātaḥ/raktagatavāta asr̥ggatavātaḥ/raktagatavāta asr̥ggatavātaḥ/raktagatavāta asr̥ggatavātaḥ/raktagatavāta asruggatavatah/raktagatavata asruggatavatah/raktagatavata asruggatavatah/raktagatavata vitiated vāta in rakta vitiated vāta in rakta the disorder is characterized by rujastīvrāḥ [acute pain], sasantāpāḥ [with burning sensation], vaivarṇyaṁ [discolouration], kr̥śatā [emaciation], aruciḥ [tastelessness], gātrē cārūṁṣi [appearance of rash/scabs on the body], bhuktasya stambhaḥ gātrē [stiffness of the body after taking food], svāpam [sleepiness/numbness], rāgam [redness/congestion], annasya viṣṭambhaḥ [indigestion of food], bhramaḥ [giddiness or dizziness], vraṇaḥ [wound/ulcer/sore] असृग्गतवातः/रक्तगतवात",asr̥ggatavātaḥ/raktagatavāta
243,241,AAE-9,mAMsagatavAtakopa,māṁsagatavātakōpa,मांसगतवातकोप,-,"the disorder is characterized by gurvaṅgam [heavyness of the body], tudyatēऽtyarthaṁ daṇḍamuṣṭihataṁ tathā [excessive pain in the body as if beaten by a stick or with fist-cuffs], saruk śramitamatyartham [pain and excessive fatigue], karkaśa-granthiḥ [glandular swelling which is hard/firm/rough], tōdaḥ [pricking pain], śramam [exhaustion/fatigue], atiruk [severe pain], stabdham [stiffness], saśūla-granthiḥ [glandular swelling with pain]",-,vitiated vāta in māmsa,-,-,"māṁsagatavātakōpa māṁsagatavātakōpa māṁsagatavātakōpa māṁsagatavātakōpa mamsagatavatakopa mamsagatavatakopa mamsagatavatakopa vitiated vāta in māmsa vitiated vāta in māmsa the disorder is characterized by gurvaṅgam [heavyness of the body], tudyatēऽtyarthaṁ daṇḍamuṣṭihataṁ tathā [excessive pain in the body as if beaten by a stick or with fist-cuffs], saruk śramitamatyartham [pain and excessive fatigue], karkaśa-granthiḥ [glandular swelling which is hard/firm/rough], tōdaḥ [pricking pain], śramam [exhaustion/fatigue], atiruk [severe pain], stabdham [stiffness], saśūla-granthiḥ [glandular swelling with pain] मांसगतवातकोप",māṁsagatavātakōpa
244,242,AAE-10,medogatavAtaH,mēdōgatavātaḥ,मेदोगतवातः,-,"the disorder is characterized by gurvaṅgam [heavyness of the body], tudyatēऽtyarthaṁ daṇḍamuṣṭihataṁ tathā [excessive pain in the body as if beaten by a stick or with fist-cuffs], saruk śramitamatyartham [pain and excessive fatigue], karkaśa-granthiḥ [glandular swelling which is hard/firm/rough], tōdaḥ [pricking pain], śramam [exhaustion/fatigue], atiruk [severe pain], stabdham [stiffness], mandaruk [mild pain], avraṇa-granthiḥ [glandular swelling without ulcer]",-,vitiated vāta in mēdas,-,-,"mēdōgatavātaḥ mēdōgatavātaḥ mēdōgatavātaḥ mēdōgatavātaḥ medogatavatah medogatavatah medogatavatah vitiated vāta in mēdas vitiated vāta in mēdas the disorder is characterized by gurvaṅgam [heavyness of the body], tudyatēऽtyarthaṁ daṇḍamuṣṭihataṁ tathā [excessive pain in the body as if beaten by a stick or with fist-cuffs], saruk śramitamatyartham [pain and excessive fatigue], karkaśa-granthiḥ [glandular swelling which is hard/firm/rough], tōdaḥ [pricking pain], śramam [exhaustion/fatigue], atiruk [severe pain], stabdham [stiffness], mandaruk [mild pain], avraṇa-granthiḥ [glandular swelling without ulcer] मेदोगतवातः",mēdōgatavātaḥ
245,243,AAE-11,asthigatavAtaH,asthigatavātaḥ,अस्थिगतवातः,-,"the disorder is characterized by asthiparvaṇāṁ bhēdaḥ [cracking type of pain in the bones and small joints], sandhiśūlam [pain in the joints], māṁsakṣayaḥ [extreme wasting of muscles/diminution of muscle mass], balakṣayaḥ [loss of physical strength or weakness], asvapnaḥ [insomnia/sleeplessness], santatā ruk [constant pain], sakthiśūlam [pain in thighs], sandhisaśūlam [pain in joints], asthiśūlam [pain in the bones], tīvraṁ balakṣayam [severe loss of physical strength], asthiśōṣaḥ [diminution of asthi/osteoenia/osteoporosis]",-,aggravation of vāta in asthi,-,-,"asthigatavātaḥ asthigatavātaḥ asthigatavātaḥ asthigatavātaḥ asthigatavatah asthigatavatah asthigatavatah aggravation of vāta in asthi aggravation of vāta in asthi the disorder is characterized by asthiparvaṇāṁ bhēdaḥ [cracking type of pain in the bones and small joints], sandhiśūlam [pain in the joints], māṁsakṣayaḥ [extreme wasting of muscles/diminution of muscle mass], balakṣayaḥ [loss of physical strength or weakness], asvapnaḥ [insomnia/sleeplessness], santatā ruk [constant pain], sakthiśūlam [pain in thighs], sandhisaśūlam [pain in joints], asthiśūlam [pain in the bones], tīvraṁ balakṣayam [severe loss of physical strength], asthiśōṣaḥ [diminution of asthi/osteoenia/osteoporosis] अस्थिगतवातः",asthigatavātaḥ
246,244,AAE-12,majjAgatavAtaH,majjāgatavātaḥ,मज्जागतवातः,-,"the disorder is characterized by asthiparvaṇāṁ bhēdaḥ [cracking type of pain in the bones and small joints], sandhiśūlam [pain in the joints], māṁsakṣayaḥ [extreme wasting of muscles/diminution of muscle mass], balakṣayaḥ [loss of physical strength or weakness], asvapnaḥ [insomnia/sleeplessness], santatā ruk/rujam [constant pain], asthisauṣiryaḥ [porousness of bones], stabdhatā [stiffness]",-,vitiated vāta in majjā,-,-,"majjāgatavātaḥ majjāgatavātaḥ majjāgatavātaḥ majjāgatavātaḥ majjagatavatah majjagatavatah majjagatavatah vitiated vāta in majjā vitiated vāta in majjā the disorder is characterized by asthiparvaṇāṁ bhēdaḥ [cracking type of pain in the bones and small joints], sandhiśūlam [pain in the joints], māṁsakṣayaḥ [extreme wasting of muscles/diminution of muscle mass], balakṣayaḥ [loss of physical strength or weakness], asvapnaḥ [insomnia/sleeplessness], santatā ruk/rujam [constant pain], asthisauṣiryaḥ [porousness of bones], stabdhatā [stiffness] मज्जागतवातः",majjāgatavātaḥ
247,245,AAE-13,SukragatavAtaH,śukragatavātaḥ,शुक्रगतवातः,-,"the disorder is characterized by garbham badhnāti [delayed labour/postterm delivery], garbhakṣipraṁ muñcati [miscarriage/abortion/preterm delivery], śukraṁ badhnāti/śukrasya saṅgam [delayed ejaculation], śukraṁ kṣipraṁ muñcati/śukrasya śīghramutsargam [premature ejaculation], vikr̥tiṁ janayēt [congenital anamolies in offspring], śukrasya apravr̥ttiḥ [inability to ejaculate]",-,vitiated vāta in śukra,-,-,"śukragatavātaḥ śukragatavātaḥ śukragatavātaḥ śukragatavātaḥ sukragatavatah sukragatavatah sukragatavatah vitiated vāta in śukra vitiated vāta in śukra the disorder is characterized by garbham badhnāti [delayed labour/postterm delivery], garbhakṣipraṁ muñcati [miscarriage/abortion/preterm delivery], śukraṁ badhnāti/śukrasya saṅgam [delayed ejaculation], śukraṁ kṣipraṁ muñcati/śukrasya śīghramutsargam [premature ejaculation], vikr̥tiṁ janayēt [congenital anamolies in offspring], śukrasya apravr̥ttiḥ [inability to ejaculate] शुक्रगतवातः",śukragatavātaḥ
248,246,AAE-14,snAyugatavAtaH,snāyugatavātaḥ,स्नायुगतवातः,-,"the disorder is characterized by bāhyāyāmaḥ [external bending of body], antarāyāmaḥ [internal bending of body], khallī [shooting pain in extremities], kubjatvam [hump backed], sarvāṅgarōgaḥ [quadriplegia], ēkāṅgarōgaḥ [monoplegia], stambhaḥ [rigidity/stiffness], kampaḥ [tremors], śūlam [sharp pain], ākṣēpaṇam [convulsion], gr̥dhrasī [sciatica]",-,vitiated vāta in snāyu,-,-,"snāyugatavātaḥ snāyugatavātaḥ snāyugatavātaḥ snāyugatavātaḥ snayugatavatah snayugatavatah snayugatavatah vitiated vāta in snāyu vitiated vāta in snāyu the disorder is characterized by bāhyāyāmaḥ [external bending of body], antarāyāmaḥ [internal bending of body], khallī [shooting pain in extremities], kubjatvam [hump backed], sarvāṅgarōgaḥ [quadriplegia], ēkāṅgarōgaḥ [monoplegia], stambhaḥ [rigidity/stiffness], kampaḥ [tremors], śūlam [sharp pain], ākṣēpaṇam [convulsion], gr̥dhrasī [sciatica] स्नायुगतवातः",snāyugatavātaḥ
249,247,AAE-15,sirAgatavAtaH,sirāgatavātaḥ,सिरागतवातः,-,"the disorder is characterized by mandaruk [mild pain], mandaśōpham [mild oedema], śarīraṁ śuṣyati [dryness/emaciation of body], spandatē tathā supta sirā [presence or absence of pulsation in the blood vessels/arteries], tanvyō mahatyō vā sirā [thinness or excessive thickness of the vessels or narrowing or dilatation of blood vessels/arteries], śūlam [sharp pain], sirākuñcanam [contraction/narrowing of sira/blood vessels (kuṭila sirā- tortous sira)], sirāpūraṇam [bulky /prominent blood vessels], sirāsu ādhmānam [fullness of blood vessels], sirāsu riktatā [emptyness of blood vessels]",-,vitiated vāta in sirā,-,-,"sirāgatavātaḥ sirāgatavātaḥ sirāgatavātaḥ sirāgatavātaḥ siragatavatah siragatavatah siragatavatah vitiated vāta in sirā vitiated vāta in sirā the disorder is characterized by mandaruk [mild pain], mandaśōpham [mild oedema], śarīraṁ śuṣyati [dryness/emaciation of body], spandatē tathā supta sirā [presence or absence of pulsation in the blood vessels/arteries], tanvyō mahatyō vā sirā [thinness or excessive thickness of the vessels or narrowing or dilatation of blood vessels/arteries], śūlam [sharp pain], sirākuñcanam [contraction/narrowing of sira/blood vessels (kuṭila sirā- tortous sira)], sirāpūraṇam [bulky /prominent blood vessels], sirāsu ādhmānam [fullness of blood vessels], sirāsu riktatā [emptyness of blood vessels] सिरागतवातः",sirāgatavātaḥ
250,248,SP12(AAE-16),sandhigatavAtaH,(a) sandhigatavātaḥ,सन्धिगतवातः,-,"It is characterised by pain, swelling, stiffness, hardening and restricted movements of the joint. This may be explained by: (a) Increased vata affecting the joint leading to degenerative changes.",-,Osteoarthritis disorder (TM2),-,Primary,"(a) sandhigatavātaḥ (a) sandhigatavātaḥ (a) sandhigatavātaḥ (a) sandhigatavātaḥ sandhigatavatah sandhigatavatah sandhigatavatah osteoarthritis disorder (tm2) osteoarthritis disorder (tm2) primary primary it is characterised by pain, swelling, stiffness, hardening and restricted movements of the joint. this may be explained by: (a) increased vata affecting the joint leading to degenerative changes. सन्धिगतवातः",(a) sandhigatavātaḥ
251,249,AAE-17,bastigata-pratilomavAtaH/bastigata-viguNavAtaH,bastigata-pratilōmavātaḥ/bastigata-viguṇavātaḥ,बस्तिगत-प्रतिलोमवातः/बस्तिगत-विगुणवातः,-,the disorder is characterized by vividhāḥ vikārāḥ [various disorders of urinary tract],-,vitiated vāta in basti,-,-,bastigata-pratilōmavātaḥ/bastigata-viguṇavātaḥ bastigata-pratilōmavātaḥ/bastigata-viguṇavātaḥ bastigata-pratilōmavātaḥ/bastigata-viguṇavātaḥ bastigata-pratilōmavātaḥ/bastigata-viguṇavātaḥ bastigata-pratilomavatah/bastigata-vigunavatah bastigata-pratilomavatah/bastigata-vigunavatah bastigata-pratilomavatah/bastigata-vigunavatah vitiated vāta in basti vitiated vāta in basti the disorder is characterized by vividhāḥ vikārāḥ [various disorders of urinary tract] बस्तिगत-प्रतिलोमवातः/बस्तिगत-विगुणवातः,bastigata-pratilōmavātaḥ/bastigata-viguṇavātaḥ
