Sr No.,NAMC_ID,NAMC_CODE,NAMC_term,NAMC_term_diacritical,NAMC_term_DEVANAGARI,Short_definition,Long_definition,Ontology_branches,Name English,Name English Under Index,Primary Index Related,query,normalized_term
1304,1349,EL-1,Artavavaha-srotoduShTiH,ārtavavaha-srōtōduṣṭiḥ,आर्तववह-स्रोतोदुष्टिः,-,-,-,derangement of ārtavavahasrōtas,-,-,ārtavavaha-srōtōduṣṭiḥ ārtavavaha-srōtōduṣṭiḥ ārtavavaha-srōtōduṣṭiḥ ārtavavaha-srōtōduṣṭiḥ artavavaha-srotodushtih artavavaha-srotodushtih artavavaha-srotodushtih derangement of ārtavavahasrōtas derangement of ārtavavahasrōtas आर्तववह-स्रोतोदुष्टिः,ārtavavaha-srōtōduṣṭiḥ
1305,1350,EL-2,yonirogaH/yoni-vyApadaH,yōnirōgaḥ/yōni-vyāpadaḥ,योनिरोगः/योनि-व्यापदः,-,-,-,gynecological disorder,-,-,yōnirōgaḥ/yōni-vyāpadaḥ yōnirōgaḥ/yōni-vyāpadaḥ yōnirōgaḥ/yōni-vyāpadaḥ yōnirōgaḥ/yōni-vyāpadaḥ yonirogah/yoni-vyapadah yonirogah/yoni-vyapadah yonirogah/yoni-vyapadah gynecological disorder gynecological disorder योनिरोगः/योनि-व्यापदः,yōnirōgaḥ/yōni-vyāpadaḥ
1306,1351,EL-2.1,vAtaja-yonirogaH,vātaja-yōnirōgaḥ,वातज-योनिरोगः,-,"the disorder is characterized by yōnēstōdaṁ [pricking pain in yoni], savēdanam [associated with pain], yōnikarkaśatāṁ [roughness of yoni genital organ], yōnistambhaṁ [stiffness of yoni (vagina) genital organ], pipīlikāsr̥ptimiva [feeling as if ants are crawling over the body/formiculation], supti [numbness], āyāsaṁ [exertion], saśabda ārtavaḥ [menstrual flow with sound], saruk ārtavaḥ [menstrual flow with pain], saphēna ārtavaḥ/phēnila ārtavasruti [frothy menstruation], rūkṣa ārtava/rūkṣa ārtavasruti [dry menstruation], karkaśa yōniḥ [roughness of yoni genital organ], stabdha yōniḥ [stiffness of yoni genital organ], śūla [pain], nistōda/ tōda [pricking type of pain], svanam [tinnitus], aruṇa ārtavasruti [slightly reddish brown menstrul flow], kr̥ṣṇa ārtavasruti [blackish mensstrual flow], alpa ārtavasruti [scanty menstrual flow], tanu ārtavasruti [thin menstural flow], vaṅkṣaṇasraṁsa [feeling as if prolapse of pelvis], vaṅkṣaṇavyathā [pelvic pain], pārśvasraṁsa [feeling of prolapse of sides of chest/flanks], pārśvavyathā [pain in sides of chest/flanks], kramēṇa ca gulmaṁ [leading to gulma], tāṁstāṁśca svān gadān [diseases as per dōṣa]",-,yōnirōga due to vāta,-,-,"vātaja-yōnirōgaḥ vātaja-yōnirōgaḥ vātaja-yōnirōgaḥ vātaja-yōnirōgaḥ vataja-yonirogah vataja-yonirogah vataja-yonirogah yōnirōga due to vāta yōnirōga due to vāta the disorder is characterized by yōnēstōdaṁ [pricking pain in yoni], savēdanam [associated with pain], yōnikarkaśatāṁ [roughness of yoni genital organ], yōnistambhaṁ [stiffness of yoni (vagina) genital organ], pipīlikāsr̥ptimiva [feeling as if ants are crawling over the body/formiculation], supti [numbness], āyāsaṁ [exertion], saśabda ārtavaḥ [menstrual flow with sound], saruk ārtavaḥ [menstrual flow with pain], saphēna ārtavaḥ/phēnila ārtavasruti [frothy menstruation], rūkṣa ārtava/rūkṣa ārtavasruti [dry menstruation], karkaśa yōniḥ [roughness of yoni genital organ], stabdha yōniḥ [stiffness of yoni genital organ], śūla [pain], nistōda/ tōda [pricking type of pain], svanam [tinnitus], aruṇa ārtavasruti [slightly reddish brown menstrul flow], kr̥ṣṇa ārtavasruti [blackish mensstrual flow], alpa ārtavasruti [scanty menstrual flow], tanu ārtavasruti [thin menstural flow], vaṅkṣaṇasraṁsa [feeling as if prolapse of pelvis], vaṅkṣaṇavyathā [pelvic pain], pārśvasraṁsa [feeling of prolapse of sides of chest/flanks], pārśvavyathā [pain in sides of chest/flanks], kramēṇa ca gulmaṁ [leading to gulma], tāṁstāṁśca svān gadān [diseases as per dōṣa] वातज-योनिरोगः",vātaja-yōnirōgaḥ
1307,1352,EL-2.2,pittaja-yonirogaH,pittaja-yōnirōgaḥ,पित्तज-योनिरोगः,-,"the disorder is characterized by dāhaḥ/yōni-dāhaḥ/atyarthaṁ yōnidāha [burning sensation in yoni (genital organ)], pākaḥ/yōni-pākaḥ/atyarthaṁ yōnipāka [inflammation/suppuration of yoni genital organ], jvaraḥ [fever], uṣṇārtā [heating sensation], nīlārtavā [menstrual discharge becoms blue, yellow or black in colour], pītārtavā [yellowish discharge], sitārtavā [whitish discharge], bhr̥śōṣṇasrāvāḥ [very hot dishcarge], [], kuṇapasrāvāḥ [discharge is in large quantity, hot and having offensive smell], yōni ōṣa [burning in yoni genital organ], yōni pūtigandhi [putrid smell in yoni], uṣṇa ārtava [hot menstrual flow], bhūri ārtava [heavy menstrual flow], kuṇapa ārtava [having smell of dead body]",-,yōnirōga due to pitta,-,-,"pittaja-yōnirōgaḥ pittaja-yōnirōgaḥ pittaja-yōnirōgaḥ pittaja-yōnirōgaḥ pittaja-yonirogah pittaja-yonirogah pittaja-yonirogah yōnirōga due to pitta yōnirōga due to pitta the disorder is characterized by dāhaḥ/yōni-dāhaḥ/atyarthaṁ yōnidāha [burning sensation in yoni (genital organ)], pākaḥ/yōni-pākaḥ/atyarthaṁ yōnipāka [inflammation/suppuration of yoni genital organ], jvaraḥ [fever], uṣṇārtā [heating sensation], nīlārtavā [menstrual discharge becoms blue, yellow or black in colour], pītārtavā [yellowish discharge], sitārtavā [whitish discharge], bhr̥śōṣṇasrāvāḥ [very hot dishcarge], [], kuṇapasrāvāḥ [discharge is in large quantity, hot and having offensive smell], yōni ōṣa [burning in yoni genital organ], yōni pūtigandhi [putrid smell in yoni], uṣṇa ārtava [hot menstrual flow], bhūri ārtava [heavy menstrual flow], kuṇapa ārtava [having smell of dead body] पित्तज-योनिरोगः",pittaja-yōnirōgaḥ
1308,1353,EL-2.3,kaPaja-yonirogaH,kaphaja-yōnirōgaḥ,कफज-योनिरोगः,-,"the disorder is characterized by picchila-yōniḥ [slimeness in vaginal canal], śītala-yōniḥ/atiśītala yōniḥ/śītalāṁ [coldness of vagina], kaṇḍūgrasta-yōniḥ/kaṇḍulāṁ [itching in the vagina], alpavēdanā [mild pain], pāṇḍuvarṇāṁ yōniḥ [pale coloured vaginal discharge], pāṇḍu ārtava/pāṇḍu sruti [paleness of menstrual blood], picchila ārtava [slimy menstrual flow], yōni avēdanā [no pain], tadvidhasruti [discharge as per corresponding dōṣa]",-,yōnirōga due to kapha,-,-,"kaphaja-yōnirōgaḥ kaphaja-yōnirōgaḥ kaphaja-yōnirōgaḥ kaphaja-yōnirōgaḥ kapaja-yonirogah kapaja-yonirogah kapaja-yonirogah yōnirōga due to kapha yōnirōga due to kapha the disorder is characterized by picchila-yōniḥ [slimeness in vaginal canal], śītala-yōniḥ/atiśītala yōniḥ/śītalāṁ [coldness of vagina], kaṇḍūgrasta-yōniḥ/kaṇḍulāṁ [itching in the vagina], alpavēdanā [mild pain], pāṇḍuvarṇāṁ yōniḥ [pale coloured vaginal discharge], pāṇḍu ārtava/pāṇḍu sruti [paleness of menstrual blood], picchila ārtava [slimy menstrual flow], yōni avēdanā [no pain], tadvidhasruti [discharge as per corresponding dōṣa] कफज-योनिरोगः",kaphaja-yōnirōgaḥ
1309,1354,EL-2.4,sAnnipAtaja-yonirogaH,sānnipātaja-yōnirōgaḥ,सान्निपातज-योनिरोगः,-,"the disorder is characterized by svairyōniṁ yuñjati lakṣaṇaiḥ malāḥ [mixed features], dāhārtā bhavēt [burning pain], śūlārtā bhavēt [colicy pain], śvētavāhinī [whitish discharge], picchilavāhinī [slimy menstrual flow], sarvaliṅgasamutthānā [clinical features of all types of dōṣa], dōṣaisvōpadravakarairvyāpatsā [complications]",-,yōnirōga due to three dōṣa,-,-,"sānnipātaja-yōnirōgaḥ sānnipātaja-yōnirōgaḥ sānnipātaja-yōnirōgaḥ sānnipātaja-yōnirōgaḥ sannipataja-yonirogah sannipataja-yonirogah sannipataja-yonirogah yōnirōga due to three dōṣa yōnirōga due to three dōṣa the disorder is characterized by svairyōniṁ yuñjati lakṣaṇaiḥ malāḥ [mixed features], dāhārtā bhavēt [burning pain], śūlārtā bhavēt [colicy pain], śvētavāhinī [whitish discharge], picchilavāhinī [slimy menstrual flow], sarvaliṅgasamutthānā [clinical features of all types of dōṣa], dōṣaisvōpadravakarairvyāpatsā [complications] सान्निपातज-योनिरोगः",sānnipātaja-yōnirōgaḥ
1310,1355,EL-2.5 (SM9Y),acaraNA,(a) acaraṇā,अचरणा,-,-,-,Colpitis disorder (TM2) ⇒,-,Index,(a) acaraṇā (a) acaraṇā (a) acaraṇā (a) acaraṇā acarana acarana acarana colpitis disorder (tm2) ⇒ colpitis disorder (tm2) ⇒ index index अचरणा,(a) acaraṇā
1311,1356,EL-2.6 (SM9Y),atyAnandA,(a) atyānandā,अत्यानन्दा,-,-,-,Insatiable sexual desire disorder (TM2) ⇒,-,Index,(a) atyānandā (a) atyānandā (a) atyānandā (a) atyānandā atyananda atyananda atyananda insatiable sexual desire disorder (tm2) ⇒ insatiable sexual desire disorder (tm2) ⇒ index index अत्यानन्दा,(a) atyānandā
1312,1357,EL-2.7,aticaraNA,,अतिचरणा,-,-,-,vaginitis due to excessive coitus,-,-,aticarana aticarana aticarana vaginitis due to excessive coitus vaginitis due to excessive coitus अतिचरणा,nan
1313,1358,EL-2.8 (SM94),antarmukhI,(a) antarmukhī,अन्तर्मुखी,-,-,-,Cervical retroversion or retroflexion disorder (TM2) ⇒,-,Index,(a) antarmukhī (a) antarmukhī (a) antarmukhī (a) antarmukhī antarmukhi antarmukhi antarmukhi cervical retroversion or retroflexion disorder (tm2) ⇒ cervical retroversion or retroflexion disorder (tm2) ⇒ index index अन्तर्मुखी,(a) antarmukhī
1314,1359,SM90 (EL-2.9),arajaskA,(a) arajaskā                               (a) rajonāśaḥ / naṣṭārtava / anārtava,अरजस्का,-,It is characterised by absence of menstruation may be primary or secondary. This may be explained by: (a) Pitta situated in the uterine region vitiating the blood.,-,Amenorrhoea disorder (TM2),-,Primary,(a) arajaskā (a) rajonāśaḥ / naṣṭārtava / anārtava (a) arajaskā (a) rajonāśaḥ / naṣṭārtava / anārtava (a) arajaskā (a) rajonāśaḥ / naṣṭārtava / anārtava (a) arajaskā (a) rajonāśaḥ / naṣṭārtava / anārtava arajaska arajaska arajaska amenorrhoea disorder (tm2) amenorrhoea disorder (tm2) primary primary it is characterised by absence of menstruation may be primary or secondary. this may be explained by: (a) pitta situated in the uterine region vitiating the blood. अरजस्का,(a) arajaskā (a) rajonāśaḥ / naṣṭārtava / anārtava
1315,1360,SM96 (EL-2.10),udAvartinI,(a) udāvartinī,उदावर्तिनी,-,"It is characterised by painful menstruation, pain in groin region, backache, nausea and vomiting; relief of pain after menstruation; may be associated with discharge frothy menstrual fluid with clots. This may be explained by: (a) Vitiation of kapha, vata affecting nutritional fluid, blood.",-,Dysmenorrhoea disorder (TM2),-,Primary,"(a) udāvartinī (a) udāvartinī (a) udāvartinī (a) udāvartinī udavartini udavartini udavartini dysmenorrhoea disorder (tm2) dysmenorrhoea disorder (tm2) primary primary it is characterised by painful menstruation, pain in groin region, backache, nausea and vomiting; relief of pain after menstruation; may be associated with discharge frothy menstrual fluid with clots. this may be explained by: (a) vitiation of kapha, vata affecting nutritional fluid, blood. उदावर्तिनी",(a) udāvartinī
1316,1361,EL-2.11,upaplutA/aplutA,,उपप्लुता/अप्लुता,-,-,-,gravidal-leucorrhea,-,-,upapluta/apluta upapluta/apluta upapluta/apluta gravidal-leucorrhea gravidal-leucorrhea उपप्लुता/अप्लुता,nan
1317,1362,SN12 (EL-2.12),jAtaghnI/putraghnI,(a) jātaghnī,जातघ्नी/पुत्रघ्नी,-,It is characterised by three or more consecutive spontaneous abortions. This may be explained by: (a) Vitiated Vata affecting the uterus.,-,Recurrent pregnancy loss disorder (TM2),-,Primary,(a) jātaghnī (a) jātaghnī (a) jātaghnī (a) jātaghnī jataghni/putraghni jataghni/putraghni jataghni/putraghni recurrent pregnancy loss disorder (tm2) recurrent pregnancy loss disorder (tm2) primary primary it is characterised by three or more consecutive spontaneous abortions. this may be explained by: (a) vitiated vata affecting the uterus. जातघ्नी/पुत्रघ्नी,(a) jātaghnī
1318,1363,SM97 (EL-2.13),lohitakShayA/lohitakSharA,(a) lohitakṣayā,लोहितक्षया/लोहितक्षरा,-,"It is characterised by decreased blood flow during menstrual period. This may be explained by: (a) Vitiated vata affecting the nutritional fluid, blood in uterus region.",-,Hypomenorrhoea disorder (TM2),-,Primary,"(a) lohitakṣayā (a) lohitakṣayā (a) lohitakṣayā (a) lohitakṣayā lohitakshaya/lohitakshara lohitakshaya/lohitakshara lohitakshaya/lohitakshara hypomenorrhoea disorder (tm2) hypomenorrhoea disorder (tm2) primary primary it is characterised by decreased blood flow during menstrual period. this may be explained by: (a) vitiated vata affecting the nutritional fluid, blood in uterus region. लोहितक्षया/लोहितक्षरा",(a) lohitakṣayā
1319,1364,SM9B (EL-2.14),viplutA,(a) viplutā,विप्लुता,-,"It is characterised by constant vaginal pain, inability allow intercourse. This may be explained by: (a) Vitiation of pitta, vata affecting vagina.",-,Vaginismus disorder (TM2),-,Primary,"(a) viplutā (a) viplutā (a) viplutā (a) viplutā vipluta vipluta vipluta vaginismus disorder (tm2) vaginismus disorder (tm2) primary primary it is characterised by constant vaginal pain, inability allow intercourse. this may be explained by: (a) vitiation of pitta, vata affecting vagina. विप्लुता",(a) viplutā
1320,1365,SM91 (EL-2.15),karNinI,(a) karṇinī,कर्णिनी,-,"It is characterised by nodular swelling in genital organs, abnormal menstrual flow, vaginal discharge. This may be explained by: (a) Vitiated kapha affecting the cervix.",-,Endocervicitis disorder (TM2),-,Primary,"(a) karṇinī (a) karṇinī (a) karṇinī (a) karṇinī karnini karnini karnini endocervicitis disorder (tm2) endocervicitis disorder (tm2) primary primary it is characterised by nodular swelling in genital organs, abnormal menstrual flow, vaginal discharge. this may be explained by: (a) vitiated kapha affecting the cervix. कर्णिनी",(a) karṇinī
1321,1366,EL-2.16,pariplutA,,परिप्लुता,-,-,-,acute vaginitis,-,-,paripluta paripluta paripluta acute vaginitis acute vaginitis परिप्लुता,nan
1322,1367,EL-2.17 (SM9A),prasraMsiNI/prasrAviNI,"(a) prasraṃsiṇī,                    (a) prasrāviṇī",प्रस्रंसिणी/प्रस्राविणी,-,-,-,Second degree uterine prolapse disorder (TM2) ⇒,-,Index,"(a) prasraṃsiṇī, (a) prasrāviṇī (a) prasraṃsiṇī, (a) prasrāviṇī (a) prasraṃsiṇī, (a) prasrāviṇī (a) prasraṃsiṇī, (a) prasrāviṇī prasramsini/prasravini prasramsini/prasravini prasramsini/prasravini second degree uterine prolapse disorder (tm2) ⇒ second degree uterine prolapse disorder (tm2) ⇒ index index प्रस्रंसिणी/प्रस्राविणी","(a) prasraṃsiṇī, (a) prasrāviṇī"
1323,1368,EL-2.18,prAkcaraNA,,प्राक्चरणा,-,-,-,deflorative vaginitis,-,-,prakcarana prakcarana prakcarana deflorative vaginitis deflorative vaginitis प्राक्चरणा,nan
1324,1369,EL-2.19 (SM9A),PalinI/aNDalI,"(a) phalinī,                               (a) aṇḍalī",फलिनी/अण्डली,-,-,-,Prolapse of vaginal wall disorder (TM2) ⇒,-,Index,"(a) phalinī, (a) aṇḍalī (a) phalinī, (a) aṇḍalī (a) phalinī, (a) aṇḍalī (a) phalinī, (a) aṇḍalī palini/andali palini/andali palini/andali prolapse of vaginal wall disorder (tm2) ⇒ prolapse of vaginal wall disorder (tm2) ⇒ index index फलिनी/अण्डली","(a) phalinī, (a) aṇḍalī"
1325,1370,SM9A (EL-2.20),mahAyoniH/vivRutA,(a) mahāyoniḥ                        (a) vivṛtā,महायोनिः/विवृता,-,"It is characterised by descending of uterus, laxity of muscles around uterus, back pain, discharge from uterus. This may be explained by: (a) All the three dosha affecting the uterine region.",-,Uterine prolapse disorder (TM2),-,Primary,"(a) mahāyoniḥ (a) vivṛtā (a) mahāyoniḥ (a) vivṛtā (a) mahāyoniḥ (a) vivṛtā (a) mahāyoniḥ (a) vivṛtā mahayonih/vivruta mahayonih/vivruta mahayonih/vivruta uterine prolapse disorder (tm2) uterine prolapse disorder (tm2) primary primary it is characterised by descending of uterus, laxity of muscles around uterus, back pain, discharge from uterus. this may be explained by: (a) all the three dosha affecting the uterine region. महायोनिः/विवृता",(a) mahāyoniḥ (a) vivṛtā
1326,1371,EL-2.21,raktayonirogaH/asRUjA/aprajA,,रक्तयोनिरोगः/असॄजा/अप्रजा,-,-,-,gestational bleeding,-,-,raktayonirogah/asruja/apraja raktayonirogah/asruja/apraja raktayonirogah/asruja/apraja gestational bleeding gestational bleeding रक्तयोनिरोगः/असॄजा/अप्रजा,nan
1327,1372,EL-2.22 (SM94),vAminI,(a) vāminī,वामिनी,-,-,-,Profluvium seminis disorder (TM2) ⇒,-,Index,(a) vāminī (a) vāminī (a) vāminī (a) vāminī vamini vamini vamini profluvium seminis disorder (tm2) ⇒ profluvium seminis disorder (tm2) ⇒ index index वामिनी,(a) vāminī
1328,1373,EL-2.23,SuShkA,,शुष्का,-,-,-,vaginal dryness/atrophic vaginitis/colpoxerosis,-,-,sushka sushka sushka vaginal dryness/atrophic vaginitis/colpoxerosis vaginal dryness/atrophic vaginitis/colpoxerosis शुष्का,nan
1329,1374,SM94 (EL-2.24),vandhyA,(a) vandhyā,वन्ध्या,-,"""It is characterised by Inability to conceive may be due to primary or secondary amenorrhoea or other ovulation defects. This may be explained by: (a) Decrease or defects in primary product of digested food, vitiated pitta, vitiated kapha causing obstruction and vitiated vata casing irregular menstrual cycles.",-,Female infertility disorder (TM2),-,Primary,"(a) vandhyā (a) vandhyā (a) vandhyā (a) vandhyā vandhya vandhya vandhya female infertility disorder (tm2) female infertility disorder (tm2) primary primary ""it is characterised by inability to conceive may be due to primary or secondary amenorrhoea or other ovulation defects. this may be explained by: (a) decrease or defects in primary product of digested food, vitiated pitta, vitiated kapha causing obstruction and vitiated vata casing irregular menstrual cycles. वन्ध्या",(a) vandhyā
1330,1375,EL-2.25 (SM94),ShaNDhI/khaNDitA,"(a) ṣaṇḍhī, (a) khaṇḍitā",षण्ढी/खण्डिता,-,-,-,Primary infertility disorder due to under developed reproductive system (TM2) ⇒,-,Index,"(a) ṣaṇḍhī, (a) khaṇḍitā (a) ṣaṇḍhī, (a) khaṇḍitā (a) ṣaṇḍhī, (a) khaṇḍitā (a) ṣaṇḍhī, (a) khaṇḍitā shandhi/khandita shandhi/khandita shandhi/khandita primary infertility disorder due to under developed reproductive system (tm2) ⇒ primary infertility disorder due to under developed reproductive system (tm2) ⇒ index index षण्ढी/खण्डिता","(a) ṣaṇḍhī, (a) khaṇḍitā"
1331,1376,EL-2.26 (SM9Y),sUcImukhi/sUcIvaktrA,"(a) sūcīmukhi,                        (a) sūcīvaktrā",सूचीमुखि/सूचीवक्त्रा,-,-,-,Colpostenosis disorder (TM2) ⇒,-,Index,"(a) sūcīmukhi, (a) sūcīvaktrā (a) sūcīmukhi, (a) sūcīvaktrā (a) sūcīmukhi, (a) sūcīvaktrā (a) sūcīmukhi, (a) sūcīvaktrā sucimukhi/sucivaktra sucimukhi/sucivaktra sucimukhi/sucivaktra colpostenosis disorder (tm2) ⇒ colpostenosis disorder (tm2) ⇒ index index सूचीमुखि/सूचीवक्त्रा","(a) sūcīmukhi, (a) sūcīvaktrā"
1332,1377,SM92 (EL-2.27),yonikandaH,(a) yonikandaḥ,योनिकन्दः,-,"It is characterised by a tuberous pear like swelling in the vaginal region may be associated with pus discharge, fistual formation. This may be explained by: (a) Vitiated pitta affecting skin, muscle and fat tissue.",-,Bartholin's cyst disorder (TM2),-,Primary,"(a) yonikandaḥ (a) yonikandaḥ (a) yonikandaḥ (a) yonikandaḥ yonikandah yonikandah yonikandah bartholin's cyst disorder (tm2) bartholin's cyst disorder (tm2) primary primary it is characterised by a tuberous pear like swelling in the vaginal region may be associated with pus discharge, fistual formation. this may be explained by: (a) vitiated pitta affecting skin, muscle and fat tissue. योनिकन्दः",(a) yonikandaḥ
1333,1378,EL-2.27.1,vAtika-yonikandaH,,वातिक-योनिकन्दः,-,-,-,yōnikanda due to vāta,-,-,vatika-yonikandah vatika-yonikandah vatika-yonikandah yōnikanda due to vāta yōnikanda due to vāta वातिक-योनिकन्दः,nan
1334,1379,EL-2.27.2,paittika-yonikandaH,,पैत्तिक-योनिकन्दः,-,-,-,yōnikanda due to pitta,-,-,paittika-yonikandah paittika-yonikandah paittika-yonikandah yōnikanda due to pitta yōnikanda due to pitta पैत्तिक-योनिकन्दः,nan
1335,1380,EL-2.27.3,kaPaja-yonikandaH,,कफज-योनिकन्दः,-,-,-,yōnikanda due to kapha,-,-,kapaja-yonikandah kapaja-yonikandah kapaja-yonikandah yōnikanda due to kapha yōnikanda due to kapha कफज-योनिकन्दः,nan
1336,1381,EL-2.27.4,sAnnipAtajayonikandaH,,सान्निपातजयोनिकन्दः,-,-,-,yōnikanda due to three dōṣa,-,-,sannipatajayonikandah sannipatajayonikandah sannipatajayonikandah yōnikanda due to three dōṣa yōnikanda due to three dōṣa सान्निपातजयोनिकन्दः,nan
1337,1382,SM99 (EL-2.28),yoni-arSaH,(a) yoni-arśaḥ,योनि-अर्शः,-,"It is characterised by muscular growth in uterus or vagina, foul smelling discharge. This may be explained by: (a) Morbid dosha vitiating the skin, muscle and adipose tissue causing muscular growths in the uterus/vagina.",-,Uterine polyps disorder (TM2),-,Primary,"(a) yoni-arśaḥ (a) yoni-arśaḥ (a) yoni-arśaḥ (a) yoni-arśaḥ yoni-arsah yoni-arsah yoni-arsah uterine polyps disorder (tm2) uterine polyps disorder (tm2) primary primary it is characterised by muscular growth in uterus or vagina, foul smelling discharge. this may be explained by: (a) morbid dosha vitiating the skin, muscle and adipose tissue causing muscular growths in the uterus/vagina. योनि-अर्शः",(a) yoni-arśaḥ
1338,1383,EL-3,ArtavadoShaH/ArtavaduShTiH/rajodoShaH,,आर्तवदोषः/आर्तवदुष्टिः/रजोदोषः,-,-,-,menstrual disorders,-,-,artavadoshah/artavadushtih/rajodoshah artavadoshah/artavadushtih/rajodoshah artavadoshah/artavadushtih/rajodoshah menstrual disorders menstrual disorders आर्तवदोषः/आर्तवदुष्टिः/रजोदोषः,nan
1339,1384,EL-3.1,vAtaja-ArtavaduShTiH,,वातज-आर्तवदुष्टिः,-,-,-,ārtavaduṣṭi due to vāta,-,-,vataja-artavadushtih vataja-artavadushtih vataja-artavadushtih ārtavaduṣṭi due to vāta ārtavaduṣṭi due to vāta वातज-आर्तवदुष्टिः,nan
1340,1385,EL-3.2,pittaja/ArtavaduShTiH,,पित्तज/आर्तवदुष्टिः,-,-,-,ārtavaduṣṭi due to pitta,-,-,pittaja/artavadushtih pittaja/artavadushtih pittaja/artavadushtih ārtavaduṣṭi due to pitta ārtavaduṣṭi due to pitta पित्तज/आर्तवदुष्टिः,nan
1341,1386,EL-3.3,kaPaja-ArtavaduShTiH,,कफज-आर्तवदुष्टिः,-,-,-,ārtavaduṣṭi due to kapha,-,-,kapaja-artavadushtih kapaja-artavadushtih kapaja-artavadushtih ārtavaduṣṭi due to kapha ārtavaduṣṭi due to kapha कफज-आर्तवदुष्टिः,nan
1342,1387,EL-3.4,kuNapagandhi-ArtavaduShTiH,,कुणपगन्धि-आर्तवदुष्टिः,-,-,-,cadaveric odourārtavaduṣṭi,-,-,kunapagandhi-artavadushtih kunapagandhi-artavadushtih kunapagandhi-artavadushtih cadaveric odourārtavaduṣṭi cadaveric odourārtavaduṣṭi कुणपगन्धि-आर्तवदुष्टिः,nan
1343,1388,EL-3.5,granthiBUta-ArtavaduShTiH,,ग्रन्थिभूत-आर्तवदुष्टिः,-,-,-,ārtavaduṣṭi with clots,-,-,granthibuta-artavadushtih granthibuta-artavadushtih granthibuta-artavadushtih ārtavaduṣṭi with clots ārtavaduṣṭi with clots ग्रन्थिभूत-आर्तवदुष्टिः,nan
1344,1389,EL-3.6,pUtipUya-ArtavaduShTiH,,पूतिपूय-आर्तवदुष्टिः,-,-,-,putrid smellārtavaduṣṭi,-,-,putipuya-artavadushtih putipuya-artavadushtih putipuya-artavadushtih putrid smellārtavaduṣṭi putrid smellārtavaduṣṭi पूतिपूय-आर्तवदुष्टिः,nan
1345,1390,EL-3.7,kShINa-ArtavaduShTiH,,क्षीण-आर्तवदुष्टिः,-,-,-,scanty flowārtavaduṣṭi,-,-,kshina-artavadushtih kshina-artavadushtih kshina-artavadushtih scanty flowārtavaduṣṭi scanty flowārtavaduṣṭi क्षीण-आर्तवदुष्टिः,nan
1346,1391,EL-3.8,mUtrapurIShagandha-ArtavaduShTiH,,मूत्रपुरीषगन्ध-आर्तवदुष्टिः,-,-,-,urine/feces smellārtavaduṣṭi,-,-,mutrapurishagandha-artavadushtih mutrapurishagandha-artavadushtih mutrapurishagandha-artavadushtih urine/feces smellārtavaduṣṭi urine/feces smellārtavaduṣṭi मूत्रपुरीषगन्ध-आर्तवदुष्टिः,nan
1347,1392,SM98 (EL-4),asRugdaraH/raktapradaraH,(a) asṛgdaraḥ  (a) Raktapradar,असृग्दरः/रक्तप्रदरः,-,It is characterised by increase in the duration of menstrual period and the quantity of blood loss. This may be explained by: (a) Vititiation of pitta and blood.,Note: Also Classifed under #san@SoNitajanyarogaH#[ED-2],Dysfunctional uterine bleeding disorder (TM2),-,Primary,(a) asṛgdaraḥ (a) raktapradar (a) asṛgdaraḥ (a) raktapradar (a) asṛgdaraḥ (a) raktapradar (a) asṛgdaraḥ (a) raktapradar asrugdarah/raktapradarah asrugdarah/raktapradarah asrugdarah/raktapradarah dysfunctional uterine bleeding disorder (tm2) dysfunctional uterine bleeding disorder (tm2) primary primary it is characterised by increase in the duration of menstrual period and the quantity of blood loss. this may be explained by: (a) vititiation of pitta and blood. असृग्दरः/रक्तप्रदरः note: also classifed under #san@sonitajanyarogah#[ed-2],(a) asṛgdaraḥ (a) raktapradar
1348,1393,EL-4.1,vAtika-asRugdaraH,,वातिक-असृग्दरः,-,-,-,asr̥gdara due to vāta,-,-,vatika-asrugdarah vatika-asrugdarah vatika-asrugdarah asr̥gdara due to vāta asr̥gdara due to vāta वातिक-असृग्दरः,nan
1349,1394,EL-4.2,paittika-asRugdaraH,,पैत्तिक-असृग्दरः,-,-,-,asr̥gdara due to pitta,-,-,paittika-asrugdarah paittika-asrugdarah paittika-asrugdarah asr̥gdara due to pitta asr̥gdara due to pitta पैत्तिक-असृग्दरः,nan
1350,1395,EL-4.3,SlaiShmika-asRugdaraH,,श्लैष्मिक-असृग्दरः,-,-,-,asr̥gdara due to kapha,-,-,slaishmika-asrugdarah slaishmika-asrugdarah slaishmika-asrugdarah asr̥gdara due to kapha asr̥gdara due to kapha श्लैष्मिक-असृग्दरः,nan
1351,1396,EL-4.4,sAnnipAtika-asRugdaraH (raktapradaraH),,सान्निपातिक-असृग्दरः (रक्तप्रदरः),-,-,-,asr̥gdara due to three dōṣa,-,-,sannipatika-asrugdarah (raktapradarah) sannipatika-asrugdarah (raktapradarah) sannipatika-asrugdarah (raktapradarah) asr̥gdara due to three dōṣa asr̥gdara due to three dōṣa सान्निपातिक-असृग्दरः (रक्तप्रदरः),nan
1352,1397,EL-4.5,asAdhya-asRugdaraH,,असाध्य-असृग्दरः,-,-,-,irremediable asr̥gdara,-,-,asadhya-asrugdarah asadhya-asrugdarah asadhya-asrugdarah irremediable asr̥gdara irremediable asr̥gdara असाध्य-असृग्दरः,nan
