Code,title,Fully Specified Name,Description,Inclusions,Exclusions,Index Terms
8D43.20,Drug-induced polyneuropathy,,,,,Drug-induced polyneuropathy; drug-related polyneuropathy; medicament-induced polyneuropathy; polyneuropathy due to drug
8D43.21,Post radiation polyneuropathy,,,,,Post radiation polyneuropathy; actinoneuritis; radiation-induced polyneuropathy
8D43.3,Myopathy due to toxicity,,,,,Myopathy due to toxicity; Spastic paraplegia due to L-BOAA
8D43.4,Movement disorders due to toxicity,,"Movements of the body such as hyperkinesias, dyskinesias, myoclonus, chorea, tremor and tics produced by toxicity either by toxin or drug, e.g. toxicity by manganese, neuroleptic drugs, calcium channel blockers, gastrointestinal prokinetics, antiarrhythmics and antidepressants that may induce Parkinsonism.",,,Movement disorders due to toxicity
8D43.5,Cassava poisoning,,"Symmetrical, non-progressive, non-remitting spastic paraparesia occurring in epidemic and endemic forms with a predilection for children and young women. The unknown aetiology is related to consumption of bitter cassava roots with very minimal protein supplementation.",,,Cassava poisoning; Tropical ataxic neuropathy
8D44,Alcohol-related neurological disorders,,,,,
8D44.0,Alcoholic polyneuropathy,,,,,Alcoholic polyneuropathy; alcohol-induced polyneuropathy; alcoholic peripheral neuropathy
8D44.1,Alcoholic myopathy,,"Myopathy secondary to alcohol use and includes acute and chronic alcoholic myopathy. Several forms have been described: acute necrotizing myopathy, acute hypokalaemic myopathy, chronic alcoholic myopathy, asymptomatic alcoholic myopathy, and alcoholic cardiomyopathy.",,,Alcoholic myopathy; alcoholic myopathic syndrome; alcoholic myositis; Acute alcoholic myopathy; Chronic alcoholic myopathy
8D60,Increased intracranial pressure,,"An increase in pressure within the skull caused by changes in the volumes of the intracranial components, such as brain matter, CSF and blood, or by the presence of a pathological mass entity.",,,
8D60.0,Brain herniation syndromes,,The shift or displacement of brain tissue due to mass effect from its normal location to a region it does not occupy.,,,"Brain herniation syndromes; Subfalcine herniation; Central transtentorial herniation; Medial temporal transtentorial herniation; Upwards transtentorial cerebellar herniation; Cerebellar tonsillar herniation; Transcalvarial herniation; Other herniation syndrome, not specified elsewhere"
8D60.1,Cerebral oedema,,Is an excess accumulation of fluid in the intracellular and/or extracellular spaces of the brain.,,Cerebral oedema due to birth injury; Traumatic cerebral oedema,Cerebral oedema; brain effusion; brain oedema; cerebral effusion; cerebrum effusion; intracranial effusion; intracranial swelling; oedematous brain; serous brain effusion
8D61,Intracranial hypotension,,"The syndrome of intracranial hypotension is a single pathophysiological entity of diverse origin. Usually it is characterised by an orthostatic headache, one that occurs or worsens with upright posture. Patients with chronic headaches and asymptomatic patients have been described.",,,
8D61.0,Spontaneous intracranial hypotension,,"The exact cause of spontaneous spinal CSF leaks usually remains unknown, but a combination of an underlying weakness of the spinal meninges and a trivial precipitating event is generally suspected.",,,Spontaneous intracranial hypotension
