code,title,fully specified name,description,inclusions,exclusions,index terms,chapter
JA40.0,Threatened abortion,,A bloody vaginal discharge of bleeding appears through a closed cervical os during the first half of pregnancy.,Haemorrhage specified as due to threatened abortion,,Threatened abortion; Haemorrhage specified as due to threatened abortion; spontaneous threatened abortion; threatened miscarriage,chapter18
JA41,Antepartum haemorrhage,,,,Haemorrhage in early pregnancy,,chapter18
JA41.0,Antepartum haemorrhage with coagulation defect,,,,,"Antepartum haemorrhage with coagulation defect; antepartum haemorrhage associated with coagulation defect; antepartum haemorrhage with coagulation defect, unspecified; Antepartum haemorrhage associated with hyperfibrinolysis; excessive antepartum haemorrhage associated with hyperfibrinolysis; Antepartum haemorrhage associated with hypofibrinogenaemia; excessive antepartum haemorrhage associated with hypofibrinogenaemia; Antepartum haemorrhage with afibrinogenemia; excessive antepartum haemorrhage associated with afibrinogenaemia; Antepartum haemorrhage with blood dyscrasia; Antepartum haemorrhage with disseminated intravascular coagulation; excessive antepartum haemorrhage associated with disseminated intravascular coagulation; Antepartum haemorrhage with fibrinolysis; Defibrination syndrome with antepartum haemorrhage",chapter18
JA42,Intrapartum haemorrhage,,,,Antepartum haemorrhage; Maternal care related to placenta praevia or low lying placenta; Postpartum haemorrhage; Maternal care related to premature separation of placenta,,chapter18
JA42.0,Intrapartum haemorrhage with coagulation defect,,"A condition affecting pregnant females, excluding those caused by abruptio placentae and placenta praevia. This condition is characterised by excessive loss of blood with difficulties in blood clotting factors, after 20 weeks gestation until labour and delivery.",,,Intrapartum haemorrhage with coagulation defect; intrapartum coagulation defect; Intrapartum haemorrhage associated with afibrinogenaemia; excessive intrapartum haemorrhage associated with afibrinogenaemia; Intrapartum haemorrhage associated with disseminated intravascular coagulation; excessive intrapartum haemorrhage associated with disseminated intravascular coagulation; Intrapartum haemorrhage associated with hyperfibrinolysis; excessive intrapartum haemorrhage associated with hyperfibrinolysis; Intrapartum haemorrhage associated with hypofibrinogenaemia; excessive intrapartum haemorrhage associated with hypofibrinogenaemia; Intrapartum haemorrhage fibrinolysis; Intrapartum intravascular haemolysis with haemorrhage; Intrapartum defibrination; defibrination syndrome with intrapartum haemorrhage; Blood dyscrasia with intrapartum haemorrhage,chapter18
JA42.1,Intrapartum haemorrhage resulting from obstructed labour with uterine rupture,,,,,Intrapartum haemorrhage resulting from obstructed labour with uterine rupture,chapter18
JA42.2,Intrapartum haemorrhage resulting from obstructed labour without mention of uterine rupture,,Labour and delivery complicated by intrapartum haemorrhage from obstructed labour due to not otherwise specified causes or without mention of uterine rupture,,,Intrapartum haemorrhage resulting from obstructed labour without mention of uterine rupture,chapter18
JA43,Postpartum haemorrhage,,,haemorrhage after delivery of fetus or infant,,,chapter18
JA43.0,Third-stage haemorrhage,,"A condition characterised by excessive loss of blood during the third stage of labour for a vaginal delivery. This condition is caused by uterine atony, trauma, retained placenta, or coagulopathy.",third-stage postpartum haemorrhage,,"Third-stage haemorrhage; third-stage postpartum haemorrhage; Haemorrhage associated with placenta accreta; placenta increta NOS; Haemorrhage associated with placenta percreta; Haemorrhage associated with retained, trapped or adherent placenta; Retained placenta NOS; adherent placenta NOS; haemorrhage associated with retained placenta NOS; placenta retention NOS; trapped placenta NOS",chapter18
JA43.1,Other immediate postpartum haemorrhage,,"A condition characterised by excessive loss of blood within the first 24 hours after the completion of the third stage of labour for a vaginal delivery (more than 500 millilitres), or after a caesarean section (more than 1000 millilitres). This condition is caused by uterine atony, trauma, retained placenta, or coagulopathy.",,,Other immediate postpartum haemorrhage; PPH - [postpartum haemorrhage]; Postpartum haemorrhage NOS; primary postpartum haemorrhage; puerperal haemorrhage; puerperal metrorrhagia; Haemorrhage following delivery of placenta; Postpartum atony of uterus; Postpartum haemorrhage atonic NOS,chapter18
